genes	endo03_FC	endo03_FDR	endo06_FC	endo06_FDR	endo09_FC	endo09_FDR	endo12_FC	endo12_FDR	endo15_FC	endo15_FDR	endo18_FC	endo18_FDR	ovary03_FC	ovary03_FDR	ovary06_FC	ovary06_FDR	ovary09_FC	ovary09_FDR	ovary12_FC	ovary12_FDR	ovary15_FC	ovary15_FDR	ovary18_FC	ovary18_FDR	ovid03_FC	ovid03_FDR	ovid06_FC	ovid06_FDR	ovid09_FC	ovid09_FDR	ovid12_FC	ovid12_FDR	ovid15_FC	ovid15_FDR	ovid18_FC	ovid18_FDR	absMAX_FC	FC_sample	Min_FDR	FDR_sample
ENSSSCG00000000138	-1.21693538872289	0.999970279305184	-5.59555699951648	3.57090429675419e-05	-3.71649562860793	0.00406045791299222	-5.97750263780382	1.52711550908061e-05	-7.05656565681236	2.76368319702563e-06	-4.32562296808662	0.003369241939563	0	0	0	0	0	0	0	0	0	0	0.503660157661816	0.999898616998068	-2.26438572455204	0.239398811642394	-1.04154631808417	0.99998075372639	-2.65787346325334	0.107547332459881	-10.0173265066738	2.6270461969354e-06	0.772318341918487	0.999951635344029	0.28704211782833	0.999918096269946	10.0173265066738	ovid12	0	ovary03
ENSSSCG00000000211	-0.48588702423902	0.999970279305184	-0.237924583475681	0.999982221946195	-1.16847250216612	0.755224198947615	2.4076666346823	0.0977680531490285	0.207728775318503	0.999107661984216	-0.626491675516496	0.999963438149354	-3.27682106985847	0.110637053861234	-1.73917860241875	0.497396925999635	-2.41258857371816	0.262308496236274	-7.34481824240137	0.00496928553430896	0.707510720584442	0.951845147275273	-3.51636343833605	0.0695476052850108	-5.2761090068918	4.77386871448785e-05	-6.25537937660685	2.52140980308119e-06	-7.88243398547678	2.17703129869329e-08	-8.07984487655628	1.29962801533797e-08	-6.08044326639709	5.43263198719186e-06	-1.81564743586938	0.924543038239365	8.07984487655628	ovid12	1.29962801533797e-08	ovid12
ENSSSCG00000000240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.28491569521135	1.34245196802856e-05	-3.17639360660753	0.0280955355619065	-5.76219278610994	3.70081924576502e-05	-6.27248009850474	1.05094456582207e-05	-5.87481920460267	3.30426639134877e-05	0.917380558418989	0.999918096269946	6.28491569521135	ovid03	0	endo03
ENSSSCG00000000492	-0.609012566762549	0.999970279305184	-2.40294252265394	0.116080113566022	-2.92144237859597	0.0228926944197267	-4.02491076321817	0.00110450996570824	-3.38385254513495	0.00794851387214963	-1.67588246499913	0.999963438149354	-2.17370229979785	0.167850778578693	-1.26428772817726	0.599790310437789	-1.28586218423583	0.559642507219975	0.0983519832138825	0.98568574190188	7.40141060978735	4.75333737861452e-09	8.18922940640845	1.07413839942626e-09	-0.346385587733376	0.999905160632868	-0.431982875747101	0.99998075372639	-0.0249173772350168	0.999991240463336	0.599631891821078	0.999791955937091	-0.188214047453943	0.999951635344029	0.00997239041161331	0.999918096269946	8.18922940640845	ovary18	1.07413839942626e-09	ovary18
ENSSSCG00000000647	-0.0232532575103474	0.999970279305184	-0.743547374285422	0.999982221946195	-1.7871744266393	0.334033683195096	0.0311515927716097	0.996844970466461	-0.580056214482321	0.999107661984216	-0.0649774560273869	0.999963438149354	-8.52477019915511	4.52522365733992e-10	-6.76319698878544	1.05211314449093e-07	-6.82879552510588	8.37444761180453e-08	-6.20514816776049	4.00694166522823e-07	-1.37086160519233	0.463669748758484	-1.64507913114179	0.4279320888196	-2.80596201034802	0.0713874269784646	-2.05158575345318	0.355050546895584	-2.27067062088542	0.218889134440947	-1.05079395714185	0.906039285383659	-0.630138873035593	0.999951635344029	-0.553095193846331	0.999918096269946	8.52477019915511	ovary03	4.52522365733992e-10	ovary03
ENSSSCG00000000659	0	0	0	0	0	0	0	0	0	0	0	0	5.03394261822329	0.000506460460787013	6.94364766229791	6.31024395962711e-07	6.93846702637724	6.80841773642087e-07	5.89293936114188	1.30804635263249e-05	0	0	2.28299464952771	0.354265976449616	0	0	0	0	0	0	0	0	0	0	0	0	6.94364766229791	ovary06	0	endo03
ENSSSCG00000000857	-0.606692953066449	0.999970279305184	1.36937668529552	0.726540712808629	1.69200769355008	0.318501210218775	2.05145696126494	0.17141735246421	-1.1607851248649	0.714438434077741	-1.40276771827645	0.999963438149354	-1.31850371156579	0.643354790945111	-0.431952547412317	0.991565390997254	-0.62101328715112	0.915072181914973	-0.703470630121145	0.836347970994746	-0.323106611850407	0.999560378701902	0.555558654074053	0.999898616998068	0.140913548999953	0.999905160632868	-1.69238084182814	0.57943857281666	-2.08915372717824	0.284536033204805	-5.55921532407895	2.6187383659234e-05	-3.24322309418741	0.0222611584491846	0.497367149026932	0.999918096269946	5.55921532407895	ovid12	2.6187383659234e-05	ovid12
ENSSSCG00000000873	-1.52877203066962	0.999970279305184	-1.95500403697199	0.297344201765764	-2.21554466193264	0.120644701967168	-3.78823990091268	0.00253366123882803	-1.48150184966872	0.47886199545021	-0.552264333056034	0.999963438149354	-3.03992819907743	0.01990972776453	-3.6801481844577	0.00320915524603083	-4.04253385437414	0.00108746334786935	-6.23982075490026	7.91880336784823e-07	-2.69048429299953	0.0303448298573349	-0.799831475985124	0.998302848285184	-2.85110590771477	0.047557350196989	-0.470359677798813	0.99998075372639	-1.14304753175894	0.985546939818656	-1.06748686783924	0.882154758771256	-0.160708610228485	0.999951635344029	0.0929448282358213	0.999918096269946	6.23982075490026	ovary12	7.91880336784823e-07	ovary12
ENSSSCG00000000932	0	0	0	0	0	0	0	0	0	0	0	0	-0.86617627562743	0.930714241540737	-1.22845797038483	0.654963540001725	-2.4661695753511	0.103594630477863	-3.75605315819632	0.00508392497189162	0.14394375747704	0.999560378701902	-9.80770343664312	6.02470173025332e-06	-1.67492492034968	0.86533715299777	-7.30788421579548	0.00943428326363827	-3.24602141172225	0.176391386842777	-4.10279220164178	0.0605810120654157	0.310622648725004	0.999951635344029	-1.58792453597055	0.999918096269946	9.80770343664312	ovary18	0	endo03
ENSSSCG00000001101	-1.29773190341582	0.999970279305184	-8.20230869812314	0.000728406264705035	-2.98565226673258	0.0798726140605232	-8.11089064176883	0.00103195348672224	-3.47953401101565	0.043318136293361	-8.26659169415781	0.0023077879915116	0	0	0	0	0	0	0	0	0	0	0	0	-7.02119101581215	4.85672729821622e-06	-3.2416243787895	0.0248290770113423	-2.90652011685567	0.0505823214171787	-11.0508297015264	6.79962964821209e-08	-3.56521181075389	0.0117004130713411	0.266861025631989	0.999918096269946	11.0508297015264	ovid12	0	ovary03
