Sample,Total_genes,Passed,Removed_genes,Removed_percent,Passed_percent
endo03,17866,39,17827,99.78,0.22
endo06,18030,184,17846,98.98,1.02
endo09,18146,239,17907,98.68,1.32
endo12,17795,251,17544,98.59,1.41
endo15,18226,220,18006,98.79,1.21
endo18,18068,41,18027,99.77,0.23
ovary03,17268,193,17075,98.88,1.12
ovary06,17405,224,17181,98.71,1.29
ovary09,17198,233,16965,98.65,1.35
ovary12,17328,474,16854,97.26,2.74
ovary15,17653,403,17250,97.72,2.28
ovary18,17828,165,17663,99.07,0.93
ovid03,18378,142,18236,99.23,0.77
ovid06,18447,116,18331,99.37,0.63
ovid09,18356,135,18221,99.26,0.74
ovid12,18351,189,18162,98.97,1.03
ovid15,18380,112,18268,99.39,0.61
ovid18,18066,11,18055,99.94,0.06
