genes,Min_FDR,Max_abs_logFC
ENSSSCG00000055799,1.44130075654502e-19,17.9879850769219
ENSSSCG00000010475,6.16083013695476e-17,12.7874696436285
ENSSSCG00000012071,1.61065933107614e-15,15.7161325354173
ENSSSCG00000014169,9.86383073496321e-14,14.6230787983212
ENSSSCG00000036059,1.13725936320247e-13,14.8353749409063
ENSSSCG00000007507,2.75332453249549e-13,14.6377007777673
ENSSSCG00000016159,4.42921936029808e-13,14.2435223187257
ENSSSCG00000025721,5.70433008060386e-13,11.1454104639042
ENSSSCG00000008563,5.70433008060386e-13,10.2279069204228
ENSSSCG00000004179,7.19694857034054e-13,10.352472596171
ENSSSCG00000032135,7.36376310450778e-13,14.1040326890361
ENSSSCG00000032857,7.36376310450778e-13,10.1751386556125
ENSSSCG00000008522,8.31798657325447e-13,10.6212970147514
ENSSSCG00000015895,1.33442708299709e-12,10.4449677432574
ENSSSCG00000006590,1.73336151762472e-12,10.1894052801934
ENSSSCG00000006106,1.91447079491839e-12,9.95153237153795
ENSSSCG00000054645,2.53256561592818e-12,10.628438060955
ENSSSCG00000050793,2.53256561592818e-12,9.54954589301282
ENSSSCG00000006588,3.36264480134922e-12,9.83416736785217
ENSSSCG00000002314,3.81154908153436e-12,10.3266720040621
ENSSSCG00000023032,4.15569483392398e-12,13.9252218093342
ENSSSCG00000040652,5.28055908440273e-12,13.784873607085
ENSSSCG00000005756,6.476700111653e-12,9.60297790204544
ENSSSCG00000014982,6.69973757901474e-12,10.0222439854328
ENSSSCG00000010428,1.09938378082624e-11,13.3846052716827
ENSSSCG00000033691,1.09938378082624e-11,9.57291058760638
ENSSSCG00000054868,1.29550910497904e-11,13.2033219400486
ENSSSCG00000003732,1.48372983905413e-11,9.33715431154441
ENSSSCG00000024689,1.6484626057953e-11,10.6673894971215
ENSSSCG00000028112,1.76022738215992e-11,9.73234966757558
ENSSSCG00000005216,1.76022738215992e-11,8.93638657265775
ENSSSCG00000001107,2.4176544784442e-11,13.2785741752972
ENSSSCG00000044108,2.78047496016412e-11,9.59558652044833
ENSSSCG00000017445,3.58070532013499e-11,12.9930569748262
ENSSSCG00000004195,3.58070532013499e-11,8.83149772679971
ENSSSCG00000008963,4.16830188434497e-11,9.18328402326571
ENSSSCG00000001841,5.20773502557033e-11,9.4558773013512
ENSSSCG00000028969,5.80131396720897e-11,8.70320717732696
ENSSSCG00000058944,6.58756166964787e-11,12.9101855737187
ENSSSCG00000009699,7.18401221703053e-11,8.64665450898464
ENSSSCG00000007221,8.43273301049504e-11,13.3368333581193
ENSSSCG00000041871,1.06092059046079e-10,12.7655766297184
ENSSSCG00000033834,1.06451000628474e-10,12.4781015944294
ENSSSCG00000027954,1.34378404381046e-10,8.57535522137588
ENSSSCG00000031345,1.45248943573836e-10,9.51621617342237
ENSSSCG00000006836,1.45248943573836e-10,8.46386283055308
ENSSSCG00000009219,1.45860325086566e-10,8.88451068246851
ENSSSCG00000022251,1.49361429806296e-10,11.846358127207
ENSSSCG00000008930,1.53533798306929e-10,12.5131002981013
ENSSSCG00000048033,1.61405835995147e-10,12.7825947689757
ENSSSCG00000017320,2.05041231060202e-10,9.54069740082157
ENSSSCG00000059713,2.09066619778684e-10,9.88053525828558
ENSSSCG00000004890,2.24720740656407e-10,9.8142545329879
ENSSSCG00000034015,2.24720740656407e-10,8.77636094147785
ENSSSCG00000010461,2.24720740656407e-10,8.5985621932031
ENSSSCG00000009444,2.92182973090873e-10,12.7884456855612
ENSSSCG00000012600,3.7614329919181e-10,9.65360998264262
ENSSSCG00000013337,3.80599207786462e-10,12.4991037277697
ENSSSCG00000037620,3.88157504865857e-10,12.3433394147594
ENSSSCG00000000647,4.52522365733992e-10,8.52477019915511
ENSSSCG00000014988,4.69226971945521e-10,10.6519936187234
ENSSSCG00000061608,4.80578388606063e-10,8.56342997128914
ENSSSCG00000007578,4.97162984131629e-10,12.3070581558299
ENSSSCG00000014198,6.09080449069934e-10,12.376774747499
ENSSSCG00000017144,6.12842166500256e-10,8.55255531513275
ENSSSCG00000044239,7.02586907093097e-10,12.2314228657213
ENSSSCG00000037735,7.72841992643305e-10,8.44052869735867
ENSSSCG00000001523,8.26649383380782e-10,12.3766106939863
ENSSSCG00000006243,8.32709568886214e-10,8.26734121701508
ENSSSCG00000013714,1.02732781581258e-09,8.84663832573974
ENSSSCG00000051666,1.06240293433643e-09,11.9394855810138
ENSSSCG00000000492,1.07413839942626e-09,8.18922940640845
ENSSSCG00000027266,1.11195756330816e-09,8.37221157919704
ENSSSCG00000008889,1.13807639852289e-09,8.51326273021271
ENSSSCG00000033383,1.18299340426497e-09,8.21408765658372
ENSSSCG00000013369,1.29926316812925e-09,8.68584784848689
ENSSSCG00000023289,1.32469702722639e-09,12.0606140325649
ENSSSCG00000035186,1.47768899844191e-09,12.2106403646505
ENSSSCG00000062725,1.81679971260995e-09,10.1791746452923
ENSSSCG00000013887,1.81679971260995e-09,8.33397864741632
ENSSSCG00000054768,1.81679971260995e-09,8.2753988302793
ENSSSCG00000061081,1.94153506653769e-09,7.78005699940484
ENSSSCG00000010190,1.98172706115373e-09,12.161373035534
ENSSSCG00000022258,2.01203120568534e-09,12.007710802593
ENSSSCG00000016218,2.02538464477705e-09,8.03594030788542
ENSSSCG00000034870,2.06821597246871e-09,8.35371258755635
ENSSSCG00000015356,2.31235263884856e-09,11.776646077088
ENSSSCG00000057522,2.33110483658178e-09,7.6460178175923
ENSSSCG00000010591,2.3741113233768e-09,7.58477113154888
