,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000022383,12.793384363052,6.31520040054676,4.34204789997259e-165,7.91294809291004e-161
ENSSSCG00000033314,-12.6074434976413,-10.6502249525974,6.59714175355052e-157,6.01131556583523e-153
ENSSSCG00000008727,-6.50886507285255,-7.93756449159702,1.16059892721422e-110,7.05025161651731e-107
ENSSSCG00000061900,-7.26215887654022,-0.422066294447109,3.74030686937726e-107,1.70408380968828e-103
ENSSSCG00000008970,-5.05039052098446,-0.0970491243665503,1.07704531595578e-103,3.28546535062245e-100
ENSSSCG00000001710,5.64189530707694,0.043632107834881,1.08169403554295e-103,3.28546535062245e-100
ENSSSCG00000004413,-4.73188863107626,2.30719749329653,2.28002909941289e-103,5.93589290110007e-100
ENSSSCG00000031963,-3.1242957252957,2.49723826315491,1.7761417962776e-95,4.04605101192038e-92
ENSSSCG00000038731,-4.4924693482652,-4.05023166265848,1.45735241606136e-93,2.95097671447802e-90
ENSSSCG00000033394,-6.42658367556046,1.22289606685349,3.77281077241756e-93,6.87557035165376e-90
ENSSSCG00000051124,-10.0776472557851,-6.99409165257766,5.56216128307127e-90,9.2149842929719e-87
ENSSSCG00000017994,-3.79639109846331,2.6917498164194,9.75503281675077e-90,1.48146431710388e-86
ENSSSCG00000016703,-3.63753657797515,2.78437712292272,1.34907848399992e-85,1.89120048403189e-82
ENSSSCG00000008186,-1.12968251861135,2.32916929119496,1.98146109405471e-85,2.57929621271808e-82
ENSSSCG00000001846,-3.4465368201958,2.0470915460766,5.86426000019276e-85,7.12468494956753e-82
ENSSSCG00000020990,-3.36224202664369,2.60090024463703,7.41285597762362e-85,8.4432429585133e-82
ENSSSCG00000009380,-3.63184231600768,2.15458887525437,1.72355514128871e-84,1.8476511114615e-81
ENSSSCG00000023169,11.9839816320221,5.84355163050469,7.37990737866678e-84,7.47174622604574e-81
ENSSSCG00000009148,-4.58967552132484,-4.77955792111714,4.85902795228676e-82,4.66057502118283e-79
ENSSSCG00000029783,6.72447267386148,0.897741590483299,3.16945713211297e-80,2.88800933878133e-77
ENSSSCG00000008664,-7.72305241175057,-1.75707745260248,4.83134477660736e-80,4.19268700994726e-77
ENSSSCG00000001826,-3.67111389960237,2.44775224395907,1.59153362771518e-79,1.31836858324915e-76
ENSSSCG00000016459,-5.69788952539245,-2.0153361511382,5.41019224286453e-79,4.28675406234622e-76
ENSSSCG00000023084,1.4202340373691,7.93191789119873,9.1432031497267e-78,6.94273892502581e-75
ENSSSCG00000038600,-6.88798319230261,-0.902769157174299,1.00515287884252e-76,7.32716242561042e-74
ENSSSCG00000026142,-5.54373682953556,-0.0724414858140943,4.80204183298743e-75,3.36586193709088e-72
ENSSSCG00000017539,-6.38528081555171,-1.3417649849492,2.18879696639377e-74,1.47735688576148e-71
ENSSSCG00000010298,-3.04197444779076,2.38942815264366,8.99303955082122e-74,5.85318402764879e-71
