Gene_name,genes,logFC,PValue,FDR
CYP26A1,ENSSSCG00000010475,12.7874696436285,3.4169884287048e-21,6.16083013695476e-17
,ENSSSCG00000055799,-12.0322709750322,7.52537284813746e-20,6.78412362259592e-16
XDH,ENSSSCG00000008522,10.6212970147514,1.3840243882287e-16,8.31798657325447e-13
,ENSSSCG00000005756,-9.60297790204544,1.43687190497016e-15,6.476700111653e-12
,ENSSSCG00000004179,-9.27931292107792,4.80255376134312e-15,1.73180088634033e-11
,ENSSSCG00000058944,12.9101855737187,2.19220022284455e-14,6.58756166964787e-11
,ENSSSCG00000041871,12.7655766297184,4.1189374005688e-14,1.06092059046079e-10
DKK1,ENSSSCG00000010428,12.6252495457464,7.59276129549218e-14,1.71121857697155e-10
RPRML,ENSSSCG00000017320,9.54069740082157,1.02350032143196e-13,2.05041231060202e-10
HPGD,ENSSSCG00000009699,8.34185554944876,1.65656336358077e-13,2.98678374453613e-10
MMD2,ENSSSCG00000007578,12.3070581558299,3.03316296475204e-13,4.97162984131629e-10
,ENSSSCG00000044239,-12.2314228657213,4.676119181984e-13,7.02586907093097e-10
,ENSSSCG00000012071,12.1443283682347,6.15194139031202e-13,8.53226948210197e-10
SLC26A4,ENSSSCG00000028969,7.87531164580574,1.20114352030346e-12,1.54690126221938e-09
,ENSSSCG00000013714,-8.08169297628983,1.78968925842872e-12,2.15120648863132e-09
VNN1,ENSSSCG00000004181,-7.8781587359345,2.93445703994495e-12,3.30676627688797e-09
,ENSSSCG00000044108,8.28906032671074,3.74439334456678e-12,3.97125952956112e-09
,ENSSSCG00000052744,7.64884566318125,9.44184162394711e-12,9.45757802665369e-09
SST,ENSSSCG00000033815,11.4802632978667,1.09009714474362e-11,1.03444481682776e-08
LYPD1,ENSSSCG00000035102,7.91773466469988,1.88661978004455e-11,1.70078773171016e-08
UPK1B,ENSSSCG00000011904,-7.19080747581287,3.75150626246023e-11,3.21849108194511e-08
SLC39A12,ENSSSCG00000011039,11.1726491438428,4.09503916543309e-11,3.21849108194511e-08
CDH17,ENSSSCG00000006106,7.12434979551707,4.10567359316347e-11,3.21849108194511e-08
SLC27A6,ENSSSCG00000014257,6.90120935462125,8.82196210608624e-11,6.40875601869922e-08
,ENSSSCG00000022258,-7.9874092312964,8.88623962659349e-11,6.40875601869922e-08
,ENSSSCG00000056178,-7.53377360221889,1.00152621568825e-10,6.94519910340738e-08
STK32B,ENSSSCG00000035020,-10.9602167040636,1.12532826244708e-10,7.51469206367441e-08
,ENSSSCG00000052429,10.7203671796876,2.82895936943279e-10,1.82164776538833e-07
SLPI,ENSSSCG00000039573,-6.5561196519732,2.97903184950722e-10,1.85213600850397e-07
CCNO,ENSSSCG00000026849,-7.43341764443863,3.1133040230918e-10,1.87109571787817e-07
SLC16A6,ENSSSCG00000017262,6.69871611308917,3.37904158353655e-10,1.96529418552142e-07
RLBP1,ENSSSCG00000001836,6.77247208754465,3.90122502803159e-10,2.19809647673155e-07
LIPG,ENSSSCG00000004509,6.42048659062222,6.20379059838534e-10,3.38952559057235e-07
OLFM4,ENSSSCG00000009444,-10.5203129281583,7.29711323070273e-10,3.86961622204618e-07
GPHA2,ENSSSCG00000013015,7.48725289562003,7.63122798889625e-10,3.93117258970855e-07
GRIA1,ENSSSCG00000022569,6.3410029280181,1.12167262731622e-09,5.61771040847541e-07
,ENSSSCG00000036538,10.3707946672412,1.24246790369577e-09,6.05451251449587e-07
,ENSSSCG00000061793,7.3374377294663,1.45024721884977e-09,6.88104140943718e-07
SLC7A3,ENSSSCG00000024346,6.89569263008008,1.56821854345788e-09,7.24999495860142e-07
ADGRF1,ENSSSCG00000001726,6.2686895294343,1.79250411339385e-09,8.07971229112277e-07
MMP7,ENSSSCG00000014982,-6.1369297393387,2.31965759743491e-09,1.02008357272564e-06
AMCF-II,ENSSSCG00000008957,-7.19795791830137,2.64271925668025e-09,1.1344816237606e-06
RHCG,ENSSSCG00000001841,7.17024297928093,2.96227309416719e-09,1.2420879973915e-06
,ENSSSCG00000012668,10.152971734995,3.09990527176261e-09,1.27006300990921e-06
OVGP1,ENSSSCG00000006791,-6.12512943777589,3.16987440077174e-09,1.27006300990921e-06
TMC5,ENSSSCG00000007868,6.04919161178867,3.39898819971147e-09,1.33225559219126e-06
LAMB3,ENSSSCG00000015618,-5.95938221983593,5.18036979870304e-09,1.9872780312897e-06
SLC3A1,ENSSSCG00000008449,5.96160336139095,5.36755680069822e-09,2.01618852326227e-06
,ENSSSCG00000057515,9.97936685239822,6.39171196433035e-09,2.33371133555757e-06
CTLA4,ENSSSCG00000016122,6.98655252445278,6.47174524558395e-09,2.33371133555757e-06
,ENSSSCG00000050351,6.09284966858306,6.76141258720221e-09,2.39035821465208e-06
,ENSSSCG00000015810,-5.99973222821801,9.42430941504469e-09,3.21167482960184e-06
,ENSSSCG00000039855,-9.90831417578424,9.4408633371546e-09,3.21167482960184e-06
CILP2,ENSSSCG00000013934,5.90145203468862,9.91878951780306e-09,3.29551479384319e-06
NMB,ENSSSCG00000036907,5.7549352477889,1.00528737471645e-08,3.29551479384319e-06
SULT1E1,ENSSSCG00000039341,6.60927832524666,1.05867269442209e-08,3.36422477861275e-06
GPR183,ENSSSCG00000009517,5.77921224518382,1.07306467561144e-08,3.36422477861275e-06
,ENSSSCG00000038182,-6.44401957794464,1.08222427709118e-08,3.36422477861275e-06
GLOD5,ENSSSCG00000031477,6.1772961477839,1.15486782123715e-08,3.52919776557726e-06
NUTM1,ENSSSCG00000002241,5.95392278741959,1.32182847533587e-08,3.97209456838428e-06
TENM1,ENSSSCG00000012644,-6.80268904575222,1.4144021895934e-08,4.18060188169984e-06
CCK,ENSSSCG00000011277,6.74418234803443,1.8041541060921e-08,5.16623533742788e-06
AFP,ENSSSCG00000008949,9.72810028376252,1.80517374519111e-08,5.16623533742788e-06
NOS1,ENSSSCG00000009856,-5.66837268945624,1.9405851886054e-08,5.46699233602427e-06
CDC20B,ENSSSCG00000048484,-6.08627699131091,2.20831932106531e-08,6.12553805520115e-06
CLRN3,ENSSSCG00000010753,-6.25876467767846,2.37362647097921e-08,6.48431595026594e-06
,ENSSSCG00000059433,6.06432674902017,2.42234467005353e-08,6.50266510339877e-06
,ENSSSCG00000048959,-9.67621380934414,2.45247491420475e-08,6.50266510339877e-06
CA8,ENSSSCG00000006233,5.59511388573628,2.65336303424292e-08,6.93335297208693e-06
CES3,ENSSSCG00000024476,5.40139247266527,4.47427739866314e-08,1.14585549721154e-05
,ENSSSCG00000009936,-6.52658349245278,4.51224294520349e-08,1.14585549721154e-05
DEFB123,ENSSSCG00000056400,6.4915690552304,5.20844680197803e-08,1.304281886662e-05
CEL,ENSSSCG00000028671,9.42364590066858,6.24540200552983e-08,1.54252874191374e-05
,ENSSSCG00000011851,-5.67526422183589,6.70200811569488e-08,1.63293522062133e-05
,ENSSSCG00000054576,-6.4214094407151,6.99844302926994e-08,1.68242570423649e-05
,ENSSSCG00000052787,9.38934501548125,7.17340926329433e-08,1.70179696075259e-05
INSYN2B,ENSSSCG00000017010,5.97449760010549,7.84792819671308e-08,1.8376382517758e-05
CRHR2,ENSSSCG00000033514,6.37169084782633,8.58455266958645e-08,1.98435236708517e-05
DMRT1,ENSSSCG00000005236,9.33631435034389,8.88178901421352e-08,2.02707159400341e-05
LCN2,ENSSSCG00000005638,-5.26447923966356,9.29571053216986e-08,2.09502076118778e-05
,ENSSSCG00000011850,-5.22302517743694,1.09730630541498e-07,2.44252255390521e-05
COL17A1,ENSSSCG00000010607,-5.19148980854592,1.21362232174716e-07,2.65701437598789e-05
GCNT3,ENSSSCG00000004584,-5.29933589828622,1.22314028400995e-07,2.65701437598789e-05
SLC6A2,ENSSSCG00000002827,5.3099538787685,1.29940366639425e-07,2.78907715536766e-05
,ENSSSCG00000015049,-5.23031500290785,1.4873383857692e-07,3.15490718769631e-05
MATN4,ENSSSCG00000007391,-5.47307921719205,1.56845963795558e-07,3.28829386887663e-05
GLYATL2,ENSSSCG00000013148,5.2250345155333,1.71249730813832e-07,3.54900304203839e-05
PVALB,ENSSSCG00000000138,-5.59555699951648,1.74287064955279e-07,3.57090429675419e-05
MMP9,ENSSSCG00000007436,-5.46586531235799,1.90286392023245e-07,3.85490297548215e-05
TUBB3,ENSSSCG00000002639,-9.16039731350457,1.96133580054726e-07,3.91009287450407e-05
MOCOS,ENSSSCG00000003744,5.04346443519747,1.97348004204032e-07,3.91009287450407e-05
UPK3A,ENSSSCG00000031423,5.04956623477231,2.02549938259182e-07,3.96222487617159e-05
RAB27B,ENSSSCG00000035243,5.04929134145541,2.0437432805544e-07,3.96222487617159e-05
TMEM255B,ENSSSCG00000009564,-9.14025494204196,2.12428487521959e-07,4.03780194664637e-05
LTF,ENSSSCG00000029879,-5.13803488288065,2.1275162780444e-07,4.03780194664637e-05
UABP-2,ENSSSCG00000022251,-5.31301708374555,2.16869257074749e-07,4.07307573443514e-05
PENK,ENSSSCG00000006243,5.23959348774481,2.23076672522356e-07,4.11719449845676e-05
AGMO,ENSSSCG00000015356,9.10224289781109,2.2606891588864e-07,4.11719449845676e-05
,ENSSSCG00000039825,9.10224289781109,2.2606891588864e-07,4.11719449845676e-05
LGR5,ENSSSCG00000030511,-5.05272438095245,2.33067059681611e-07,4.20219908605945e-05
GLT6D1,ENSSSCG00000054117,-6.09972690029096,2.64707971225417e-07,4.72543041702403e-05
RAB26,ENSSSCG00000033691,5.1705428665503,2.97847742180541e-07,5.26489685442663e-05
CHI3L1,ENSSSCG00000015476,-5.64688000043365,3.07092584174245e-07,5.37561096374916e-05
,ENSSSCG00000023467,5.11573931368376,3.26036519866716e-07,5.65234466653547e-05
HK2,ENSSSCG00000008261,4.92522305356973,3.52911827803335e-07,6.06000024313727e-05
MYCN,ENSSSCG00000008618,-5.16105521484031,4.08915765487922e-07,6.9554257091955e-05
SMPD3,ENSSSCG00000002764,4.85808843075776,4.54487052432033e-07,7.65831921060706e-05
FLRT3,ENSSSCG00000007079,-5.43952271833298,4.62491135080001e-07,7.72103256064113e-05
ADRA1D,ENSSSCG00000007139,4.87227515442263,5.14716349412377e-07,8.48628816013832e-05
PHGDH,ENSSSCG00000006717,4.80774236619258,5.1922605720047e-07,8.48628816013832e-05
BDNF,ENSSSCG00000013333,5.15231506810217,5.22450352620828e-07,8.48628816013832e-05
,ENSSSCG00000015401,4.97225520805332,5.51970962270249e-07,8.88574683011839e-05
PHACTR3,ENSSSCG00000007528,5.65714132584863,5.63932010059142e-07,8.99795941713834e-05
,ENSSSCG00000062740,5.24162474337375,5.8944450360866e-07,9.32253017549485e-05
,ENSSSCG00000057664,-5.87916120734678,6.51152792972809e-07,0.000102089433541737
ERMN,ENSSSCG00000034503,8.82269736522273,6.75875608004248e-07,0.000105052044933764
MCIDAS,ENSSSCG00000036183,-5.05527111055282,6.97891822895308e-07,0.000107546919374379
NGB,ENSSSCG00000002399,-8.82402566706061,7.31929104909755e-07,0.000111836286114601
,ENSSSCG00000041010,5.84440935252308,7.48698610838725e-07,0.000113437276919514
BRINP2,ENSSSCG00000015515,-4.85181476018854,7.96062668196037e-07,0.000119608415896454
DNER,ENSSSCG00000016258,4.75893140082974,8.6129373646839e-07,0.000128339884863844
SERPINA11,ENSSSCG00000002479,-5.04882444275224,9.1401372298679e-07,0.000135079241192228
CWH43,ENSSSCG00000008830,4.67421833779752,9.41420746544133e-07,0.000137998504554396
FREM1,ENSSSCG00000039025,5.17825144231618,9.79714667981185e-07,0.000142439970728772
,ENSSSCG00000012833,-8.74619999444939,9.87520595734695e-07,0.000142439970728772
CRYBG2,ENSSSCG00000033539,4.66900742130634,1.05948076893557e-06,0.000151606652888162
FST,ENSSSCG00000016892,4.78068651119372,1.12052142344992e-06,0.000159078750116552
,ENSSSCG00000038107,5.08059912752428,1.14285726994019e-06,0.000160982160757981
RASD1,ENSSSCG00000034044,-4.69866844911857,1.3098515824885e-06,0.000183074604901299
TMEM200B,ENSSSCG00000058017,4.59270196473344,1.32755261184529e-06,0.000184121335319773
KCNE1,ENSSSCG00000012049,-8.66393545263356,1.35220732328854e-06,0.000186109145335057
SULT2B1,ENSSSCG00000023280,4.66015600960531,1.38581084020544e-06,0.000188371359426212
OPTC,ENSSSCG00000015272,4.69117668761221,1.38953914607244e-06,0.000188371359426212
,ENSSSCG00000044295,-5.43178294753257,1.40921871774735e-06,0.00018870901815965
,ENSSSCG00000010734,4.56791006360664,1.41296269836676e-06,0.00018870901815965
SGPP2,ENSSSCG00000025993,-4.5645204854247,1.644401929713e-06,0.000218004167593569
CCN5,ENSSSCG00000031648,-4.55984834551846,1.66060771679705e-06,0.000218545672509859
TRIM29,ENSSSCG00000015126,-6.14930971537995,1.74969501331182e-06,0.000228601457174001
CHIA,ENSSSCG00000023706,-4.63115267393373,1.83496282783087e-06,0.00023683672784081
THEM5,ENSSSCG00000006614,4.5509890304161,1.83899844135959e-06,0.00023683672784081
TNIP3,ENSSSCG00000009100,-5.61868034166325,1.85720034162109e-06,0.000237484554322186
,ENSSSCG00000036331,-8.57669489970467,1.88203494099041e-06,0.000238965422437021
,ENSSSCG00000043631,8.53959689307531,1.99570054157238e-06,0.000251625739612238
