,logFC,PValue,FDR
ENSSSCG00000012071,15.7161325354173,8.83715204145804e-20,1.61065933107614e-15
ENSSSCG00000003732,9.33715431154441,1.62814642714158e-15,1.48372983905413e-11
ENSSSCG00000022251,8.71049428225195,2.45848946241023e-14,1.49361429806296e-10
ENSSSCG00000017144,8.55255531513275,1.34498445407716e-13,6.12842166500256e-10
ENSSSCG00000029879,-9.03437293125655,9.46963579367417e-13,3.45187163951011e-09
ENSSSCG00000026849,-12.0552773284184,1.16756843737219e-12,3.54668372325758e-09
ENSSSCG00000026156,11.8899512827512,1.60599373241099e-12,4.18154882384611e-09
ENSSSCG00000027954,7.76348579724454,1.84967147547789e-12,4.21401403900749e-09
ENSSSCG00000002450,7.33606055217769,1.02937316690479e-11,2.08459503777852e-08
ENSSSCG00000002314,7.79935159977128,1.3657072501775e-11,2.48913803417351e-08
ENSSSCG00000015049,-7.76511253987573,2.27247947903426e-11,3.76529190771622e-08
ENSSSCG00000031590,7.01883689275227,4.01859287023673e-11,6.10357280441122e-08
ENSSSCG00000033493,6.96754809836133,5.28507559498003e-11,7.409675984162e-08
ENSSSCG00000008758,-6.96457073566303,5.87268188259132e-11,7.64539285657924e-08
ENSSSCG00000036907,6.86630472321234,8.19760204295591e-11,9.96063298899429e-08
ENSSSCG00000003047,8.48818200223279,9.88223251034475e-11,1.12570981083465e-07
ENSSSCG00000024314,7.35348096214151,2.1739694694508e-10,2.33075103236531e-07
ENSSSCG00000036183,-8.29738511810095,2.33356033691227e-10,2.36285948336461e-07
ENSSSCG00000017251,-7.7415754751162,2.58534113750381e-10,2.48002250379708e-07
ENSSSCG00000008618,-7.60738457309862,4.60562828480493e-10,4.19710905594273e-07
ENSSSCG00000050793,6.47221459567743,5.65548374823413e-10,4.90842127596739e-07
ENSSSCG00000009936,-10.591835683305,6.22677112935073e-10,5.15859684561575e-07
ENSSSCG00000009444,-10.4866632624459,9.7061607638186e-10,7.69149939484164e-07
ENSSSCG00000005742,-10.3816225503701,1.51000670777051e-09,1.14672426065939e-06
ENSSSCG00000048484,-6.99001232266582,2.10134762727901e-09,1.50553883564963e-06
ENSSSCG00000024320,10.2083120593402,2.14770162004227e-09,1.50553883564963e-06
ENSSSCG00000035724,6.09812547508032,2.23678096182678e-09,1.5099099929724e-06
ENSSSCG00000033691,6.24011981848552,3.16273780250574e-09,2.0587163995882e-06
ENSSSCG00000013976,10.1038148436274,3.32785750672344e-09,2.09150106612212e-06
ENSSSCG00000017427,6.14262672722257,3.62070779932154e-09,2.19970067834781e-06
ENSSSCG00000037620,10.0485836205732,4.19184879876122e-09,2.46453665181361e-06
ENSSSCG00000000138,-7.05656565681236,4.85229135876332e-09,2.76368319702563e-06
ENSSSCG00000004573,5.87214776691593,6.02181865275609e-09,3.3258686898525e-06
ENSSSCG00000034731,9.93134210827491,6.83127288226355e-09,3.66196410447457e-06
ENSSSCG00000010479,5.80401584730736,7.53652123285908e-09,3.92458959971685e-06
ENSSSCG00000026442,-9.88653827044267,1.18566977293206e-08,6.00278257818325e-06
ENSSSCG00000048684,-9.85065711982522,1.37442157670154e-08,6.7703263937736e-06
