,logFC,PValue,FDR
ENSSSCG00000016159,14.0814734251029,9.45361964040264e-17,1.64540249841208e-12
ENSSSCG00000001841,9.4558773013512,5.98418273550167e-15,5.20773502557033e-11
ENSSSCG00000008563,8.53909496824967,1.62411546458589e-13,9.42257655370583e-10
ENSSSCG00000035186,-12.0856530895598,1.24398600591025e-12,5.41289410821696e-09
ENSSSCG00000023289,-11.9356297767728,2.3819670902251e-12,8.29162744107358e-09
ENSSSCG00000006243,-7.56701598682678,4.53011323758431e-12,1.31411034833591e-08
ENSSSCG00000033834,11.4015779272858,1.11417658585183e-11,2.77032049667873e-08
ENSSSCG00000023032,-7.68652409130468,1.38608765213214e-11,2.78008527119456e-08
ENSSSCG00000028112,7.97837329058877,1.4375620477306e-11,2.78008527119456e-08
ENSSSCG00000015268,7.19549174470971,1.88452321786801e-11,3.01126289339801e-08
ENSSSCG00000039416,7.17643334953902,2.08643007997355e-11,3.01126289339801e-08
ENSSSCG00000054768,-7.51289516555285,2.14728281719918e-11,3.01126289339801e-08
ENSSSCG00000013976,7.33774248162977,2.24914780891549e-11,3.01126289339801e-08
ENSSSCG00000036059,-7.30673035980333,2.48946989282407e-11,3.06878243315338e-08
ENSSSCG00000004874,8.2622951809488,2.64474211417987e-11,3.06878243315338e-08
ENSSSCG00000017923,7.11007653087991,3.11359167672206e-11,3.24537157236883e-08
ENSSSCG00000015895,-7.14868009307932,3.22154856971812e-11,3.24537157236883e-08
ENSSSCG00000027404,7.17739710578305,3.35631647817518e-11,3.24537157236883e-08
ENSSSCG00000035760,6.89196938266543,7.69815141118214e-11,7.05191185850658e-08
ENSSSCG00000014198,-7.74433050730719,8.20593242832934e-11,7.14121269575361e-08
ENSSSCG00000005216,6.81199677133887,1.07879528897464e-10,8.94115809743026e-08
ENSSSCG00000010647,7.19239802171213,1.17855219362355e-10,9.32395496818992e-08
ENSSSCG00000013887,-6.83733984739468,1.24942026714785e-10,9.45485206509061e-08
ENSSSCG00000000647,-6.76319698878544,1.45077365514406e-10,1.05211314449093e-07
ENSSSCG00000027654,-10.8966441575952,2.06333097282886e-10,1.43649102328345e-07
ENSSSCG00000048151,10.7009028159265,2.25492350261294e-10,1.50949782934531e-07
ENSSSCG00000029311,10.6860385210333,2.40245337830486e-10,1.54869263145911e-07
ENSSSCG00000007507,10.6634509189057,2.6452165949472e-10,1.64428552982343e-07
ENSSSCG00000003053,7.66871900788244,3.44752143900915e-10,2.0691072636536e-07
ENSSSCG00000034942,6.3742841388147,6.39815276160783e-10,3.71199496052614e-07
ENSSSCG00000048033,10.4335990495496,7.02420827343715e-10,3.94375306448947e-07
ENSSSCG00000031904,6.37364738556898,8.58318975402258e-10,4.5283579108826e-07
