Gene_name,genes,logFC,PValue,FDR
HSPB3,ENSSSCG00000036059,-14.8353749409063,6.44230081687229e-18,1.13725936320247e-13
,ENSSSCG00000032135,14.1040326890361,1.00034787648921e-16,7.36376310450778e-13
S100A12,ENSSSCG00000032857,10.1751386556125,1.2514184168993e-16,7.36376310450778e-13
S100A8,ENSSSCG00000006590,10.1894052801934,3.92763047102411e-16,1.73336151762472e-12
PCSK1,ENSSSCG00000014169,13.5946350945434,9.28802730898227e-16,3.27923092170928e-12
,ENSSSCG00000006588,9.83416736785217,1.14291445126014e-15,3.36264480134922e-12
TUNAR,ENSSSCG00000054868,13.2033219400486,5.13712328491093e-15,1.29550910497904e-11
,ENSSSCG00000024689,10.6673894971215,7.4705154060853e-15,1.6484626057953e-11
ARG1,ENSSSCG00000004195,8.83149772679971,1.97371874338266e-14,3.58070532013499e-11
,ENSSSCG00000017445,-12.9930569748262,2.02838345897864e-14,3.58070532013499e-11
IBSP,ENSSSCG00000009219,8.88451068246851,9.08890033395018e-14,1.45860325086566e-10
TMPRSS11F,ENSSSCG00000008930,12.5131002981013,1.04367845674001e-13,1.53533798306929e-10
,ENSSSCG00000005216,8.31434931014427,1.52109314499567e-13,2.06552748373912e-10
ANKRD1,ENSSSCG00000010461,8.5985621932031,1.86111851717779e-13,2.24720740656407e-10
XIRP1,ENSSSCG00000034015,8.77636094147785,1.91523962526976e-13,2.24720740656407e-10
SERPINB2,ENSSSCG00000004890,8.31259626651802,2.03678233189968e-13,2.24720740656407e-10
MMP13,ENSSSCG00000014988,8.19616870993509,4.51869853456855e-13,4.69226971945521e-10
,ENSSSCG00000061608,-8.56342997128914,4.90024981301146e-13,4.80578388606063e-10
,ENSSSCG00000037735,8.44052869735867,8.31813168312627e-13,7.72841992643305e-10
GCG,ENSSSCG00000015895,-7.96818984046877,1.14493347780807e-12,1.0105755341873e-09
,ENSSSCG00000051666,11.9394855810138,1.26383400107999e-12,1.06240293433643e-09
NPY5R,ENSSSCG00000008889,-8.51326273021271,1.41832440760798e-12,1.13807639852289e-09
GREM2,ENSSSCG00000023289,-11.971213061698,1.72594072544084e-12,1.32469702722639e-09
ODAPH,ENSSSCG00000034870,8.35371258755635,2.81182707410917e-12,2.06821597246871e-09
CDO1,ENSSSCG00000057522,-7.6460178175923,3.30128708517218e-12,2.33110483658178e-09
CYP17A1,ENSSSCG00000010591,-7.58477113154888,3.49668013413e-12,2.3741113233768e-09
,ENSSSCG00000016183,8.03905681150128,4.80155571715279e-12,3.13932826203326e-09
LYZ,ENSSSCG00000000492,7.40141060978735,7.56576356188284e-12,4.75333737861452e-09
GSTA1,ENSSSCG00000052947,-7.40130791835383,7.80868883361587e-12,4.75333737861452e-09
CXCL8,ENSSSCG00000008953,8.4637886659221,1.11101205130062e-11,6.53756524720327e-09
SPRP,ENSSSCG00000022269,11.4026829793399,1.2889136635957e-11,7.33973964627575e-09
SLC1A1,ENSSSCG00000005222,7.51558643304628,1.42560513107761e-11,7.86443980591033e-09
CTHRC1,ENSSSCG00000006051,7.33526361831157,2.60115941978866e-11,1.39146264356149e-08
CEMIP,ENSSSCG00000038929,7.11285625794579,2.88287881865584e-11,1.49680764075681e-08
SLC2A2,ENSSSCG00000020927,7.7853768018522,3.34027483822706e-11,1.68473919197778e-08
NT5C1B,ENSSSCG00000008607,8.16444446785371,4.0744900137625e-11,1.99797145035971e-08
MS4A7,ENSSSCG00000013102,7.179023927834,5.13654735688752e-11,2.39411891100484e-08
