,logFC,PValue,FDR
ENSSSCG00000040652,-13.7709802150272,3.21137447007236e-16,5.92402248494249e-12
ENSSSCG00000001523,-12.3627189381889,1.50690481463584e-13,9.62886515000085e-10
ENSSSCG00000059713,-9.01283321073647,1.5659237518297e-13,9.62886515000085e-10
ENSSSCG00000009738,8.39975541702208,2.34639098302658e-12,1.08209686159729e-08
ENSSSCG00000005504,-8.24214400221641,4.53948163568973e-12,1.67479635467137e-08
ENSSSCG00000012071,7.81575125286458,6.63885372988725e-12,2.04111557925384e-08
ENSSSCG00000024416,-7.47761415090123,1.17713591508587e-11,3.10208946079843e-08
ENSSSCG00000031478,-11.1847276609047,2.48894633877181e-11,5.73919913891545e-08
ENSSSCG00000014843,-7.36645676035747,8.93109453119323e-11,1.83057667574357e-07
ENSSSCG00000015342,6.99458147901583,1.00559604549295e-10,1.85502302512085e-07
ENSSSCG00000001107,-6.90582265163006,2.64313896389718e-10,4.43254404245556e-07
ENSSSCG00000014982,6.96022437390473,3.25261110039005e-10,4.81436815061156e-07
ENSSSCG00000054186,-6.56499092783737,3.39278939437037e-10,4.81436815061156e-07
ENSSSCG00000004803,-8.01256520937871,7.41337639768996e-10,9.76818245772762e-07
ENSSSCG00000007224,7.4837281622601,7.94762710087039e-10,9.7739918086504e-07
ENSSSCG00000034942,6.20680060131252,1.52169285195173e-09,1.75441675249709e-06
ENSSSCG00000013369,-6.27172623131306,1.70960993198495e-09,1.85512790678391e-06
ENSSSCG00000000211,-6.25537937660685,2.46031205374649e-09,2.52140980308119e-06
ENSSSCG00000057692,-6.12822694247567,2.69321328347823e-09,2.61482660212226e-06
ENSSSCG00000028691,7.15304909916054,3.2623572633247e-09,3.00903522182754e-06
ENSSSCG00000058318,-10.0250283935143,3.46815566047849e-09,3.04652702232604e-06
ENSSSCG00000034358,6.408291750784,4.32282834792176e-09,3.6246915697324e-06
ENSSSCG00000009444,-6.1641004607505,4.97572721786207e-09,3.84106317194813e-06
ENSSSCG00000007164,7.05268670354624,4.99731751107254e-09,3.84106317194813e-06
ENSSSCG00000006791,-5.88690717762888,5.24622184398622e-09,3.87108217424055e-06
ENSSSCG00000021585,6.16848374269188,5.76927293468886e-09,4.09329914716175e-06
ENSSSCG00000055762,-5.97893503462855,6.6169319379448e-09,4.52083494293584e-06
ENSSSCG00000039341,6.97254993015391,7.01888221457995e-09,4.62419000758415e-06
ENSSSCG00000036573,-5.78036804969436,9.30030617891486e-09,5.91595683042905e-06
ENSSSCG00000029515,-5.82510584984098,1.00766578570443e-08,6.19613691629652e-06
ENSSSCG00000004283,-9.71550483206526,1.25977780933823e-08,7.49649072543947e-06
ENSSSCG00000009496,6.0240173760416,1.3312359431961e-08,7.67415920129325e-06
ENSSSCG00000007130,-6.19635063574401,1.37885526129341e-08,7.70780091063017e-06
ENSSSCG00000013890,-9.6541788939749,1.62349540837254e-08,8.80841758772005e-06
ENSSSCG00000017249,6.34211186843019,1.67879872393366e-08,8.84822858868693e-06
ENSSSCG00000015726,-9.54015532040675,2.59688589090311e-08,1.33068761193027e-05
ENSSSCG00000035269,-6.17689465983891,3.33767834387139e-08,1.66405817322691e-05
ENSSSCG00000044775,-6.13627136648598,3.96238371915765e-08,1.89234294759209e-05
ENSSSCG00000061630,-9.43469229714045,4.00072504776341e-08,1.89234294759209e-05
ENSSSCG00000057664,7.04907878720257,4.70892434457466e-08,2.17163818460922e-05
ENSSSCG00000017010,6.42182363274436,7.08188427067799e-08,3.18632973515114e-05
ENSSSCG00000035020,-6.14608301473791,7.41911577765703e-08,3.25858163691522e-05
ENSSSCG00000003599,9.49844688004484,7.87824820024231e-08,3.37976847790395e-05
ENSSSCG00000007221,9.46874109034351,8.87340208189503e-08,3.72017382283449e-05
ENSSSCG00000037806,-6.28285072399536,1.22987733950075e-07,5.04167717372672e-05
ENSSSCG00000029441,-9.10872082977021,1.49773741053952e-07,6.00625261135271e-05
ENSSSCG00000033922,-6.73757180683092,1.58962315273901e-07,6.05517960214638e-05
ENSSSCG00000059381,5.2370777714686,1.62702046744921e-07,6.05517960214638e-05
ENSSSCG00000010190,-5.31469158467719,1.62952431044768e-07,6.05517960214638e-05
ENSSSCG00000044295,-9.08567936478743,1.64260184810737e-07,6.05517960214638e-05
ENSSSCG00000002749,5.13199465962771,1.67406168867277e-07,6.05517960214638e-05
ENSSSCG00000052907,-5.13648372338879,1.90070067694256e-07,6.74273565145374e-05
