Gene_name,genes,logFC,PValue,FDR
CBLN1,ENSSSCG00000040652,-13.7237316078125,4.72201231136344e-16,8.66772579873873e-12
BTBD17,ENSSSCG00000059713,-9.88053525828558,2.27791043559254e-14,2.09066619778684e-10
AGTR2,ENSSSCG00000012600,-9.65360998264262,6.14747165817951e-14,3.7614329919181e-10
ACTA1,ENSSSCG00000010190,-12.161373035534,4.31842898486322e-13,1.98172706115373e-09
GALNT9,ENSSSCG00000009738,8.61311810221629,9.20060083096626e-13,3.37772457706433e-09
MYH13,ENSSSCG00000024416,-7.87140155939338,2.8129028302291e-12,8.60560739194757e-09
SULT1C3,ENSSSCG00000028691,8.52848576781123,8.634527264638e-12,2.17703129869329e-08
AQP5,ENSSSCG00000000211,-7.88243398547678,9.48804226931048e-12,2.17703129869329e-08
COL28A1,ENSSSCG00000015342,7.49704029860108,1.12645586835028e-11,2.29746932438196e-08
SYNDIG1,ENSSSCG00000007130,-8.54657321506194,7.57877462929027e-11,1.39115987095252e-07
SULT1E1,ENSSSCG00000039341,7.89831865000669,1.32399851087646e-10,2.20939242414984e-07
TNNC1,ENSSSCG00000011441,-7.30534085309786,1.65613438241113e-10,2.53333356029489e-07
PGB,ENSSSCG00000006792,-10.6598940910082,2.7972886369768e-10,3.94977155541124e-07
GPX6,ENSSSCG00000001213,6.83288155978054,5.62961733968233e-10,7.38123256337206e-07
SLC17A1,ENSSSCG00000001107,-6.57964010913359,8.97181922304409e-10,1.03699733930707e-06
STAR,ENSSSCG00000034942,6.32719741398863,9.03898312754042e-10,1.03699733930707e-06
OLFM4,ENSSSCG00000009444,-6.55624299515479,1.35198167895519e-09,1.45982209993538e-06
KRT2,ENSSSCG00000037806,-10.2120730828328,1.86280786426058e-09,1.89965006424263e-06
MMP7,ENSSSCG00000014982,6.50505262887835,2.31149558451869e-09,2.23314804996974e-06
OSTN,ENSSSCG00000031478,-7.12258237241492,3.59119659576331e-09,3.29600023559156e-06
GRM4,ENSSSCG00000001523,-6.36909529002839,4.12513290266956e-09,3.60575902673345e-06
,ENSSSCG00000058318,-9.97782245120301,4.97097280553297e-09,3.99317738150478e-06
NXNL2,ENSSSCG00000035269,-7.04461543797942,5.00573279479644e-09,3.99317738150478e-06
SDF2L1,ENSSSCG00000054186,-5.91852932338232,5.22097718218101e-09,3.99317738150478e-06
ACTC1,ENSSSCG00000004803,-7.01571642950971,5.66053017529393e-09,4.03360259700112e-06
CD180,ENSSSCG00000016957,6.25449791193136,5.71331812606391e-09,4.03360259700112e-06
TAC3,ENSSSCG00000055762,-5.94501507068314,7.82763088100198e-09,5.32162935006194e-06
ALKAL1,ENSSSCG00000033922,-9.75566846132284,1.25098491775498e-08,8.20109969653941e-06
MYBPC3,ENSSSCG00000013236,6.0462580125198,2.02137381819374e-08,1.25537146168515e-05
ACTG2,ENSSSCG00000008294,-5.56678061482936,2.08053781916303e-08,1.25537146168515e-05
,ENSSSCG00000040843,6.17256591258329,2.156056513928e-08,1.25537146168515e-05
,ENSSSCG00000057453,9.76993673075241,2.18848805698e-08,1.25537146168515e-05
GRIA1,ENSSSCG00000022569,6.23440920025611,2.6400817766999e-08,1.4685254876698e-05
,ENSSSCG00000013369,-5.57094130020553,2.89975080034756e-08,1.5655242850347e-05
P2RX1,ENSSSCG00000022405,-5.79880671497308,3.08230514797739e-08,1.61653695132209e-05
,ENSSSCG00000006719,5.46170873856035,3.67276648114126e-08,1.8526127995114e-05
CKM,ENSSSCG00000036132,-5.4626821175497,3.73429252461983e-08,1.8526127995114e-05
,ENSSSCG00000003599,9.62506116661361,3.94733603580426e-08,1.89397417594099e-05
ASPG,ENSSSCG00000039553,-6.55142693845529,4.02402445313242e-08,1.89397417594099e-05
GABRD,ENSSSCG00000035018,-6.26743117389308,4.46651910952676e-08,2.04968561936183e-05
MRO,ENSSSCG00000004521,5.78623759549507,4.95271722779854e-08,2.21736774227976e-05
CEL,ENSSSCG00000028671,6.4247028213407,6.95847444049973e-08,3.04118468642412e-05
KRT85,ENSSSCG00000000240,-5.76219278610994,8.6693848097568e-08,3.70081924576502e-05
SPDEF,ENSSSCG00000036573,-5.20570728128724,1.04533015920393e-07,4.36092736416986e-05
,ENSSSCG00000057664,6.81077555326603,1.23992494430549e-07,5.03024602738657e-05
CHRDL2,ENSSSCG00000014843,-5.3025137956565,1.26756421078892e-07,5.03024602738657e-05
KNG1,ENSSSCG00000011802,5.21507802654758,1.28797975205474e-07,5.03024602738657e-05
SMIM43,ENSSSCG00000044775,-5.7366282744978,1.34631035430776e-07,5.14851517993192e-05
CPAMD8,ENSSSCG00000013869,-5.28704427087269,1.5307968293641e-07,5.73455236730764e-05
,ENSSSCG00000043631,-9.10656059889417,1.75348309456564e-07,6.18979532381671e-05
,ENSSSCG00000057223,-9.10656059889417,1.75348309456564e-07,6.18979532381671e-05
MYH1,ENSSSCG00000054680,-9.10656059889417,1.75348309456564e-07,6.18979532381671e-05
,ENSSSCG00000029441,-9.06155579072284,2.09785588803102e-07,7.12803134918893e-05
,ENSSSCG00000058051,-6.66822375433474,2.13326101232867e-07,7.12803134918893e-05
,ENSSSCG00000037358,-5.02862838546921,2.1357688178546e-07,7.12803134918893e-05
,ENSSSCG00000044295,-9.03851572640999,2.29905511810888e-07,7.53597424071547e-05
OVGP1,ENSSSCG00000006791,-4.98602876335087,2.44061793750469e-07,7.85964611593615e-05
,ENSSSCG00000052907,-5.04830807934991,2.7529144162346e-07,8.62537931878243e-05
IGSF21,ENSSSCG00000020992,-8.99130145983339,2.77237622471216e-07,8.62537931878243e-05
,ENSSSCG00000002720,5.37662067945883,3.36847479366597e-07,0.000103052872187554
FOXI1,ENSSSCG00000017009,9.07521749474246,3.53287037049103e-07,0.000105306827629238
,ENSSSCG00000063044,5.50314634506909,3.55688783668162e-07,0.000105306827629238
,ENSSSCG00000033181,4.95512322681249,4.09828349162337e-07,0.000119409669479744
,ENSSSCG00000022258,-5.45119421692426,4.4121846770019e-07,0.000126546971767261
PSP-II,ENSSSCG00000061335,8.99171923558021,4.89113888387474e-07,0.000136708568440861
,ENSSSCG00000007224,5.94955707044732,4.91543120347398e-07,0.000136708568440861
,ENSSSCG00000043782,-5.29812877174323,5.99536137798499e-07,0.000164255005155661
,ENSSSCG00000005756,-8.78528664021476,6.22662281422516e-07,0.000168082188791054
INSYN2B,ENSSSCG00000017010,5.8683324394466,6.83323476612542e-07,0.000181783851256519
OLFM3,ENSSSCG00000006858,-5.03426182590225,6.93355704774218e-07,0.000181817675954794
CXCL14,ENSSSCG00000014310,-4.75906237744475,7.09721424900172e-07,0.000182679298754189
PLA2G4E,ENSSSCG00000037292,-4.82803751829224,7.16545517013597e-07,0.000182679298754189
LIPG,ENSSSCG00000004509,4.91195666241689,7.3285897690571e-07,0.000184278895617551
ACR,ENSSSCG00000021265,5.83665418631838,7.76671913244322e-07,0.000192656616750173
,ENSSSCG00000051026,-5.1644470523235,8.11607937100047e-07,0.000198638337245446
,ENSSSCG00000002749,4.73308789175604,8.89398915558466e-07,0.000214468052466106
FGFBP1,ENSSSCG00000008741,-4.70763331947801,8.99653521458389e-07,0.000214468052466106
,ENSSSCG00000057692,-4.66637630008486,1.06897407130597e-06,0.000251565231447339
KCNJ16,ENSSSCG00000034358,5.09257296575573,1.08605993011227e-06,0.000252350836419505
TEX12,ENSSSCG00000058261,-5.29306848831429,1.31165855143336e-06,0.000300960054626384
BRINP2,ENSSSCG00000015515,-4.86236971878758,1.40876051950364e-06,0.000319249482666776
,ENSSSCG00000053430,-8.54487295272584,1.57313172083319e-06,0.000347348324465548
CHST4,ENSSSCG00000002737,8.68119964133335,1.60668327191519e-06,0.000347348324465548
SULT1B1,ENSSSCG00000032374,8.68119964133335,1.60668327191519e-06,0.000347348324465548
PLA2G2F,ENSSSCG00000036504,-4.83006421136058,1.60844451839026e-06,0.000347348324465548
,ENSSSCG00000002709,-4.68775153654702,1.64576917940983e-06,0.000351276035549382
SLC5A5,ENSSSCG00000013890,-5.59207258385183,2.06337172187648e-06,0.000435347716399594
GRIK2,ENSSSCG00000004361,-5.57632559806908,2.19725428511386e-06,0.000458327268835795
TNNI1,ENSSSCG00000024061,-4.59285414725773,2.22798395069272e-06,0.00045951543144849
,ENSSSCG00000040950,-4.55957650135295,2.29561585074089e-06,0.000468203606179997
HTR2A,ENSSSCG00000037452,-4.70642920656595,2.45922269401946e-06,0.000496060349136496
,ENSSSCG00000039823,-6.02704356170327,2.79289923828496e-06,0.000557244113238682
,ENSSSCG00000008121,-4.5590905651454,3.13699920212673e-06,0.00061916943391654
CNTNAP5,ENSSSCG00000015726,-5.47805391293976,3.24772338523636e-06,0.000634204366589346
CA3,ENSSSCG00000006141,-4.52714966133591,3.35323146696988e-06,0.000646547068650319
CREB3L4,ENSSSCG00000006560,-4.38065574906564,3.38137495044839e-06,0.000646547068650319
INSL3,ENSSSCG00000013887,-8.33397864741632,3.4860222791089e-06,0.000659684793353845
SCGB3A1,ENSSSCG00000014008,-5.44375065301748,3.71986257572965e-06,0.000696753035102995
,ENSSSCG00000053301,8.41886797969388,4.26704630485752e-06,0.000791170726989542
PKP1,ENSSSCG00000030694,4.49199878997697,4.42552577562479e-06,0.000806323332574418
DGKB,ENSSSCG00000015355,-4.33742497838459,4.43662326160472e-06,0.000806323332574418
RALYL,ENSSSCG00000006149,-4.80095377886523,4.53696064424105e-06,0.000813520747199929
CRELD2,ENSSSCG00000000981,-4.29343458258078,4.56486363922383e-06,0.000813520747199929
GP2,ENSSSCG00000007861,-8.25622449852814,4.65370271028814e-06,0.000820429057388639
NTM,ENSSSCG00000015253,-4.47864063753715,4.69301868739415e-06,0.000820429057388639
,ENSSSCG00000009497,4.4018174767242,4.7556778533619e-06,0.000823539836568972
,ENSSSCG00000009648,-4.94636872477474,5.2893093172888e-06,0.000907388428300498
PRSS16,ENSSSCG00000025410,-8.21571732181763,5.40415229705565e-06,0.00091302638827387
,ENSSSCG00000055991,-4.83401825379945,5.42165375473152e-06,0.00091302638827387
OXTR,ENSSSCG00000021585,4.51886300780615,5.66034918066237e-06,0.000944557905093078
GLB1L3,ENSSSCG00000056489,-8.17403987005106,6.29814944372178e-06,0.00104152100170232
,ENSSSCG00000063099,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
STMN2,ENSSSCG00000006160,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
,ENSSSCG00000033434,-8.13112250659484,7.36768761445345e-06,0.00118632696360445
,ENSSSCG00000061608,-4.17939628282174,7.45869904491227e-06,0.00119053808407313
GFY,ENSSSCG00000035723,-5.25881662617579,7.68404274854632e-06,0.00121593352320962
,ENSSSCG00000032896,-4.42173539107446,7.7768546157863e-06,0.00122010207972114
,ENSSSCG00000058788,-4.14059084094429,8.22049964341989e-06,0.0012787753513103
