genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000000138	-1.21693538872289	-5.59555699951648	-3.71649562860793	0	0	0	-2.26438572455204	-1.04154631808417	-2.65787346325334
ENSSSCG00000000211	-0.48588702423902	-0.237924583475681	-1.16847250216612	-3.27682106985847	-1.73917860241875	-2.41258857371816	-5.2761090068918	-6.25537937660685	-7.88243398547678
ENSSSCG00000000239	-2.39171869024018	0.707035352178818	-0.426371203224084	0	0	0	-8.06210179566038	-8.13397024680081	-4.98538549880867
ENSSSCG00000000240	0	0	0	0	0	0	-6.28491569521135	-3.17639360660753	-5.76219278610994
ENSSSCG00000000647	-0.0232532575103474	-0.743547374285422	-1.7871744266393	-8.52477019915511	-6.76319698878544	-6.82879552510588	-2.80596201034802	-2.05158575345318	-2.27067062088542
ENSSSCG00000000659	0	0	0	5.03394261822329	6.94364766229791	6.93846702637724	0	0	0
ENSSSCG00000000748	0	0	0	-3.75093362830021	-1.35143778802608	-7.78397266194153	-1.61910132760474	-2.72967553257433	-4.51102227601381
ENSSSCG00000000932	0	0	0	-0.86617627562743	-1.22845797038483	-2.4661695753511	-1.67492492034968	-7.30788421579548	-3.24602141172225
ENSSSCG00000000934	-0.462301079166151	-0.833362229394917	-1.234033715528	-2.00026489209425	-2.44688466226976	-8.42547042322067	0.268557292363725	0.337035234038619	-0.411550409140617
ENSSSCG00000001101	-1.29773190341582	-8.20230869812314	-2.98565226673258	0	0	0	-7.02119101581215	-3.2416243787895	-2.90652011685567
ENSSSCG00000001107	0	0	0	-4.41686255137604	-3.62016449352177	-4.10850172774625	-5.98935550343768	-6.90582265163006	-6.57964010913359
ENSSSCG00000001213	0	0	0	0	-1.25525941205085	0	0	0.913203963280947	6.83288155978054
ENSSSCG00000001234	0	0	1.39664605012459	-9.27613965146195	-2.58108745171992	-1.47476480345059	-0.110184325178498	0.801963471370291	-0.848682533051864
ENSSSCG00000001235	-2.2726868390824	-6.99926989517971	0.882385178760677	-5.10485442079749	-2.3606901853468	-1.77794516667032	-0.484423026776367	0.801963471370291	0.779176230519825
ENSSSCG00000001248	0	0	0	0	0	0	0	7.74645602906469	0
ENSSSCG00000001428	1.65055100970982	0	0	-8.5348637383289	-3.79854194399704	-8.39640971156394	0	0	0
ENSSSCG00000001441	0	0	0	0	0	0	8.08007447224875	8.3779374242728	0
ENSSSCG00000001523	0.820552994076887	1.94056310102678	0	0	-0.808150086357397	0	-6.51128590804687	-12.3627189381889	-6.36909529002839
ENSSSCG00000001560	-0.706144680827633	-7.80178380691835	-3.54482315085124	0	0	3.20239260810977	0	0	0
ENSSSCG00000001682	0	4.02578048386644	2.22139401299501	-7.87660701787452	-2.73887994855294	-4.33213964096589	-1.82597082068351	-3.48254130654543	-7.41199745660826
ENSSSCG00000001726	-1.98405069786905	6.2686895294343	6.92614981233457	0	0	0	0.649686173286267	0.21391752200929	0.674288187662005
ENSSSCG00000001736	0	7.71945391149121	9.09938730491415	0	0	0	0	0	0
ENSSSCG00000001775	0	1.07515773829728	-0.0747566800971657	0	4.01820596322821	5.41269933855758	-1.45580221821275	-2.73122813795514	-4.74242249868319
ENSSSCG00000001789	0	0	0	0	8.34507652556439	9.90866629062141	0	0	0
ENSSSCG00000001836	1.19585911523276	6.77247208754465	7.05923932325526	0	0	0	5.47057782994438	4.77106808697638	3.75375805537247
ENSSSCG00000001841	3.01754005946885	7.17024297928093	4.68294076665194	3.57718555594316	9.4558773013512	8.0838073365041	1.85770642710351	4.31419042606865	4.3091150131155
ENSSSCG00000001989	1.52033119958307	4.65971704605156	6.92865577478547	0	0	0	-1.16368525618828	1.70133293780291	0.724449552302574
ENSSSCG00000002013	0.292001067395837	1.02093557724923	0.96473907971872	3.56894189572354	3.1631016090206	5.85753665669384	-0.709541281620743	-1.02456020501046	-0.0587936459550537
ENSSSCG00000002241	0.0960771259204403	5.95392278741959	4.50084187014651	0	1.75137051476074	0.479953770856687	0.372213462773931	-0.478304095023939	-2.12971908405435
ENSSSCG00000002314	0	4.98761183287036	6.82611252573251	1.00083405051591	0.438521526216031	0.821372238105546	4.74368601458215	1.19615590985617	1.07815635433707
ENSSSCG00000002399	-2.71753410278798	-8.82402566706061	-2.62790135018205	0	0	0	-2.20240305411676	-4.44106006628853	-2.77876324533417
ENSSSCG00000002442	-2.50376168206167	3.09118963796517	4.3866673903819	0	4.33944795460131	0	7.99550864507277	8.20855441436725	0
ENSSSCG00000002450	0.926795150906892	2.31605688409497	5.63277022271599	-1.20617753857135	-0.445567754889875	0.163787686366128	-0.503762047061912	-1.45531944643875	1.3463981433172
ENSSSCG00000002456	-2.45957037193525	-3.64415398824848	-5.30333524655507	-0.251140746435198	-1.29948195472602	-1.68554626717861	0.85994859672601	1.44796550846041	1.12707354659849
ENSSSCG00000002474	-0.734597482918368	-3.85440579245158	-5.39128194953957	-0.10995775498967	-0.276223792943707	0.448267251070321	-0.120716256111346	0.148791247138277	-0.529941707045201
ENSSSCG00000002479	-3.98612658876183	-5.04882444275224	-7.91580444957686	0	0	0	-3.8038011132921	-3.81443671997765	-3.0289748844066
ENSSSCG00000002497	0	0	0	-5.15661122399497	-2.89308987961458	-3.31617825099726	0	0	0
ENSSSCG00000002639	-2.47609799645138	-9.16039731350457	-3.15391600237007	-1.45335257154136	0.549842203548814	-0.893707983776386	1.06497634891379	1.5689802347361	0.0813786237500328
ENSSSCG00000002668	-0.833929572752427	-1.51416948600314	-3.31308664231416	-7.96643273374093	-2.82870479905354	-0.386611758217747	-0.383218118311909	-1.29929300514916	-0.666788896777486
ENSSSCG00000002720	0.450082607310605	0.300155599299296	4.05660882197218	1.12596414428223	0.963364069005666	1.26899082727567	4.16672335510704	2.78354138264403	5.37662067945883
ENSSSCG00000002737	0	0	0	8.26353035927016	8.34507652556439	8.82109053098808	0	7.47483650044798	8.68119964133335
ENSSSCG00000002749	-0.0430724518339284	3.08013121226853	1.87289942579609	3.9113261604441	2.30154918191777	2.454754380261	1.83084371549961	5.13199465962771	4.73308789175604
ENSSSCG00000002777	-0.000997460321667873	4.02342530297747	3.059236243027	7.07280731212939	4.04981928578931	5.29793436109019	1.78838003939291	1.45585086601296	2.10130837288528
ENSSSCG00000002827	0.54180931132179	5.3099538787685	5.65904315854546	0	0	0	-1.56828970216786	-3.07642636205677	-2.72697470049695
ENSSSCG00000002980	-0.539566439328804	-5.50560960398642	-2.09890615532639	0	0	0	-2.84667985271357	-3.84154194027578	-3.34694709087002
ENSSSCG00000003047	0	0	0	0	0	0	-0.0468527474206831	-7.59573441939322	0.287280987349561
ENSSSCG00000003048	0.00705347296417358	-3.66451775210292	-10.4181777237221	0	0	0	1.35304371534282	2.12166771268589	1.0606109120279
ENSSSCG00000003053	0	0	0	8.938282210735	7.66871900788244	5.70815013427937	0	0	0
ENSSSCG00000003073	0	0	0	-5.46103814124678	-4.89599673895544	-9.4936600703971	0	0	0
ENSSSCG00000003171	0	0	0	0	0	0	-3.88446140304535	-4.01604722003844	-7.94541898945807
ENSSSCG00000003314	0	0	0	-3.31328741796472	-2.73503219174528	-8.30554102951264	0	0	0
ENSSSCG00000003386	0.0961425041434345	-0.773900579172454	-1.59202497139446	-3.24934537408141	-4.20179542220882	-8.24161794645637	0	0	0
ENSSSCG00000003417	-4.57292056714813	-0.287128719518256	2.64027670002678	0	0	0	10.8288867383849	8.88479628140317	0
ENSSSCG00000003431	0	0	0	-7.62403047069185	-7.6206823091185	-7.48592216790863	-3.27869910426026	-3.01219374294642	-2.35588114869241
ENSSSCG00000003599	0	0	0	2.61285774575665	3.0150132329878	2.63999885362167	6.95710847485132	9.49844688004484	9.62506116661361
ENSSSCG00000003744	1.14938228547528	5.04346443519747	5.17765320450666	-3.19084683233793	-2.05537040719951	-2.20720482131385	1.92795728298434	1.64763734818797	2.12376884309414
ENSSSCG00000003753	0.787672319283999	-4.91420813399658	-3.79633726104929	5.28975135165057	5.77810153914814	6.15271019373383	-0.420114576570178	2.10750104072321	2.53133586668404
ENSSSCG00000003852	0	0	0	0	0	-0.955456342154173	0	5.50689886236851	3.86059019449427
ENSSSCG00000003894	4.17662893993481	0.581597586156055	4.14424333520426	10.5736657701005	0	9.89418188204653	2.45772936460946	-0.660070833342882	2.86929092987055
ENSSSCG00000004041	0	0	0	-8.77753117717885	-1.67093705559226	-2.35704764347177	0	0	0
ENSSSCG00000004179	-2.12669359708552	-9.27931292107792	-10.352472596171	-1.1178536279794	-1.84485959991737	-2.31291147465081	-5.40366158496506	-3.96871274943007	-3.66428874451845
ENSSSCG00000004180	-1.39652118578861	-8.0807503002262	-3.82372599129108	0	0.97544750202398	0	-3.56278375092839	-3.69682663775022	-3.92237953187759
ENSSSCG00000004181	-3.312004313325	-7.8781587359345	-6.1733517756996	-0.956663228335456	-0.19092432237352	-0.0661954419797272	-4.797758389117	-3.89383093270149	-3.97536907474118
ENSSSCG00000004212	0	0	8.27135655548884	0	0	0	0	0	0
ENSSSCG00000004232	-3.73148176478952	-2.53147888567922	-7.82260592353715	0	3.73768185165933	0	0	0	0
ENSSSCG00000004283	0	0	0	-3.82443532401383	-3.09581314653219	-4.03279037789104	-5.60728137150673	-9.71550483206526	-2.9246359972959
ENSSSCG00000004357	-8.62839035360849	-3.03731991877903	-3.44720391143086	0	0	0	0	0	0
ENSSSCG00000004361	0	0	3.00098925222667	-5.14106962865945	-3.96867744950869	-3.22502437240825	0.162119309142491	-3.41531950863594	-5.57632559806908
ENSSSCG00000004422	-1.93895374820681	-0.792032991708013	-2.06369787308405	-2.21058861069216	-2.42193328506138	-7.99254118351405	0.490829359243048	0.778735638371268	0.240710744276998
ENSSSCG00000004509	2.44979329508872	6.42048659062222	5.46616497531538	2.64243967695242	5.23517061692517	5.31522382107994	0.772691502017838	4.42032701960081	4.91195666241689
ENSSSCG00000004521	0	0	0	3.48347794103594	4.51057023807716	4.97457587846983	2.26401421339702	4.77758056124382	5.78623759549507
ENSSSCG00000004584	-3.08684002742973	-5.29933589828622	-4.05900170026338	-0.241601263870493	-1.10467710449447	-0.968949254382277	-3.81770453319484	-3.02526408019925	-1.5594754655785
