Gene_name,genes,logFC,PValue,FDR
PCSK1,ENSSSCG00000014169,14.6230787983212,5.69242309266113e-18,9.86383073496321e-14
TMPRSS7,ENSSSCG00000025721,11.1454104639042,8.68136875496392e-17,5.70433008060386e-13
KCNK3,ENSSSCG00000008563,10.2279069204228,9.87591772957732e-17,5.70433008060386e-13
GCG,ENSSSCG00000015895,-10.4449677432574,3.08039492843281e-16,1.33442708299709e-12
,ENSSSCG00000054645,10.628438060955,8.36315857329511e-16,2.53256561592818e-12
ssc-mir-10390,ENSSSCG00000050793,9.54954589301282,8.76927152329702e-16,2.53256561592818e-12
HSPB3,ENSSSCG00000036059,-10.4078676266591,2.42754734583529e-15,6.00922005837626e-12
CPS1,ENSSSCG00000016159,13.1554911996182,3.50599054427641e-15,7.59397551890271e-12
,ENSSSCG00000005216,8.93638657265775,9.95529674807295e-15,1.76022738215992e-11
CLIC6,ENSSSCG00000028112,9.63551755738054,1.01582835997225e-14,1.76022738215992e-11
NDST4,ENSSSCG00000033834,12.4781015944294,6.75762353943451e-14,1.06451000628474e-10
ELAPOR1,ENSSSCG00000006836,8.46386283055308,1.048444728516e-13,1.45248943573836e-10
INSYN2A,ENSSSCG00000031345,9.51621617342237,1.08970236984065e-13,1.45248943573836e-10
IBSP,ENSSSCG00000009219,8.78683709642328,1.38018088695832e-13,1.70826960065813e-10
SCG2,ENSSSCG00000023032,-9.4083027391385,1.92138847415714e-13,2.21958796534633e-10
BBOX1,ENSSSCG00000013337,-12.4991037277697,3.51430478103843e-13,3.80599207786462e-10
,ENSSSCG00000014198,-12.376774747499,5.97551225426413e-13,6.09080449069934e-10
TUNAR,ENSSSCG00000054868,11.874349666444,9.37142029749375e-13,9.02155393972065e-10
,ENSSSCG00000048033,11.8234822917671,1.16900547350063e-12,1.06613299183258e-09
AVPR1A,ENSSSCG00000033383,8.21408765658372,1.36541251646465e-12,1.18299340426497e-09
PCK1,ENSSSCG00000007507,11.6919234257274,2.06989217214324e-12,1.70795674089991e-09
,ENSSSCG00000054768,-8.2753988302793,2.49533566122228e-12,1.81679971260995e-09
INSL3,ENSSSCG00000013887,-7.84226498933673,2.50154781821187e-12,1.81679971260995e-09
,ENSSSCG00000062725,8.53636094831593,2.51634309225755e-12,1.81679971260995e-09
MT1A,ENSSSCG00000061081,-7.78005699940484,2.80115285453845e-12,1.94153506653769e-09
ADCYAP1,ENSSSCG00000035186,-11.9851373871377,3.2554465660213e-12,2.16962992676989e-09
KCNMA1,ENSSSCG00000010325,-8.26318270292443,4.29358216291606e-12,2.75552561922257e-09
GREM2,ENSSSCG00000023289,-11.8351166995782,6.21954197258209e-12,3.84900797503223e-09
PADI6,ENSSSCG00000003484,-11.8127550563131,6.8488523559606e-12,4.09230736634777e-09
NCCRP1,ENSSSCG00000026407,-7.6260226512603,1.16639102564921e-11,6.73707456414982e-09
PLCXD2,ENSSSCG00000056685,7.69548666190032,1.31407839220134e-11,7.34527431614992e-09
DUOX2,ENSSSCG00000004678,7.26713465014684,1.55114599326577e-11,8.39945555353415e-09
,ENSSSCG00000058051,-11.5677168220765,1.96522923329844e-11,1.03192400468471e-08
PAQR9,ENSSSCG00000060874,7.34912105480306,3.17170821379652e-11,1.61645176260783e-08
SORD,ENSSSCG00000004679,7.03506821983351,3.90650573596138e-11,1.93405518264968e-08
,ENSSSCG00000047459,10.9912498203886,4.28323649860363e-11,2.06166450132788e-08
COL22A1,ENSSSCG00000005938,-11.3481828393319,5.0348166098911e-11,2.35792708692413e-08
GAS2,ENSSSCG00000031940,7.39028496731282,8.0190403796714e-11,3.65668241313016e-08
,ENSSSCG00000021767,6.97749208039119,8.79607558168924e-11,3.90816404306439e-08
,ENSSSCG00000003753,6.76357139137173,1.24217851911389e-10,5.38111734480139e-08
WFIKKN2,ENSSSCG00000017557,-7.9092974868228,1.29544815616678e-10,5.47500625611168e-08
ABCC8,ENSSSCG00000013378,7.3894152808378,1.83692847426212e-10,7.46910225660115e-08
MCRIP2,ENSSSCG00000007995,6.67459982089526,1.85348220818242e-10,7.46910225660115e-08
CYP4B1,ENSSSCG00000003894,10.5917284545286,2.37743343070869e-10,9.36276511075458e-08
,ENSSSCG00000055799,-6.80131487379602,2.53642683594293e-10,9.76693426960426e-08
PLBD1,ENSSSCG00000057970,6.49402515277919,3.88474220631306e-10,1.46336549893462e-07
,ENSSSCG00000049557,-10.8575258551777,4.05848378959898e-10,1.49628525757811e-07
VSTM2A,ENSSSCG00000015636,-7.63768766653691,4.16975515395638e-10,1.50528161057825e-07
ZAR1,ENSSSCG00000008824,-10.8410466698259,4.35124814817635e-10,1.53874342676734e-07
DUOXA2,ENSSSCG00000004676,6.49147454992722,4.76262820940303e-10,1.63326589512683e-07
NTRK1,ENSSSCG00000006464,-6.6180387271393,4.80704989909212e-10,1.63326589512683e-07
NETO1,ENSSSCG00000027654,-10.7961591170481,5.2594511485931e-10,1.75261095197733e-07
,ENSSSCG00000018073,-10.7789595631509,5.6553221363126e-10,1.84897022600046e-07
KPNA7,ENSSSCG00000007607,-10.7615524826456,6.08609035996019e-10,1.952958773285e-07
TC2N,ENSSSCG00000002443,6.38043362821356,6.91027753567035e-10,2.17711434796538e-07
CIB4,ENSSSCG00000008564,10.3358116759844,7.0753672045711e-10,2.189320766443e-07
ALOX15,ENSSSCG00000017923,6.34737256123455,8.56891688325075e-10,2.60495073250823e-07
,ENSSSCG00000053630,-10.6524543599786,9.63317533772283e-10,2.87799417675968e-07
S100A12,ENSSSCG00000032857,6.53434654059069,1.00862360534002e-09,2.96227624293761e-07
STAR,ENSSSCG00000034942,6.2600163767602,1.04956640524033e-09,3.03114777833406e-07
,ENSSSCG00000015662,6.35379113648244,1.07092051701185e-09,3.04211651127564e-07
HGD,ENSSSCG00000021227,10.2281843918236,1.11701916263027e-09,3.07233461112021e-07
NALF1,ENSSSCG00000040130,10.2281843918236,1.11701916263027e-09,3.07233461112021e-07
,ENSSSCG00000058706,7.34917916036614,1.33743914540559e-09,3.62111648618564e-07
LRP4,ENSSSCG00000013248,-6.20407947154527,1.40396656739943e-09,3.74275887383035e-07
,ENSSSCG00000014186,10.1595303124766,1.49368719534249e-09,3.92160783649919e-07
OLR1,ENSSSCG00000000647,-6.20514816776049,1.56418089468419e-09,4.00694166522823e-07
WNT2,ENSSSCG00000016628,-6.59571683106034,1.57243786493259e-09,4.00694166522823e-07
INHA,ENSSSCG00000020771,-6.14705292033442,1.72424384217991e-09,4.33010105757875e-07
CCL26,ENSSSCG00000039874,-6.8692275977896,1.78765578209661e-09,4.42521419888144e-07
SLC44A5,ENSSSCG00000003777,6.3291943898188,2.04003745105739e-09,4.97884069745388e-07
SBSN,ENSSSCG00000033702,-6.14245715339942,2.13778556545522e-09,5.14493726086223e-07
,ENSSSCG00000029289,-10.4207371597409,2.54086972756717e-09,6.03125899168272e-07
B4GALNT4,ENSSSCG00000033780,-10.4133251134006,2.62058791331549e-09,6.13642531917984e-07
RSPO3,ENSSSCG00000004218,-6.77538241336277,2.67133499032278e-09,6.17185236164175e-07
CHAC1,ENSSSCG00000038521,6.08027965357936,2.75846774564229e-09,6.28930646006443e-07
STARD6,ENSSSCG00000004530,6.22566377400216,2.90813833441155e-09,6.5444442933355e-07
C11orf87,ENSSSCG00000036943,-10.3370317215781,3.5997718494954e-09,7.91880336784823e-07
ANO4,ENSSSCG00000000873,-6.23982075490026,3.61025776812102e-09,7.91880336784823e-07
,ENSSSCG00000058308,5.95885041668175,3.86991610714163e-09,8.36470678831062e-07
SLC1A1,ENSSSCG00000005222,6.22007934496433,3.91009493220891e-09,8.36470678831062e-07
HSD11B2,ENSSSCG00000002777,6.00045247753299,4.43229188657415e-09,9.3661894890923e-07
SLC6A4,ENSSSCG00000017797,-5.9073266774534,5.03050048341783e-09,1.0502230406827e-06
DPPA5,ENSSSCG00000004283,-7.04900718857593,5.14559894572828e-09,1.06146355394738e-06
MSMB,ENSSSCG00000010400,5.88328430075352,5.33980673818875e-09,1.07835792735576e-06
TMEM35A,ENSSSCG00000012490,-6.42091078239735,5.35196108913871e-09,1.07835792735576e-06
OVGP1,ENSSSCG00000006791,-5.85305904783629,6.6011117886954e-09,1.31475936867257e-06
SDSL,ENSSSCG00000009870,6.21434246707593,7.99167897966132e-09,1.5736342427224e-06
,ENSSSCG00000042315,6.49815277028419,8.50674251032449e-09,1.62199224968732e-06
ZP3,ENSSSCG00000007691,-6.20146038641502,8.51718483509102e-09,1.62199224968732e-06
CITED1,ENSSSCG00000012409,5.7907251221728,8.5180802586303e-09,1.62199224968732e-06
TAC3,ENSSSCG00000055762,-10.1174340434855,8.92769496938417e-09,1.68151193945097e-06
PENK,ENSSSCG00000006243,-5.76656067698004,9.55027647978983e-09,1.77943215958923e-06
ANKRD22,ENSSSCG00000010445,-5.91896161284143,9.7664462111937e-09,1.7882977622745e-06
CLIC5,ENSSSCG00000037416,5.75639186838024,9.81573789257681e-09,1.7882977622745e-06
RASGRP1,ENSSSCG00000004791,5.77134210396965,9.90746682700552e-09,1.7882977622745e-06
,ENSSSCG00000047187,9.66048116522205,1.21149875193331e-08,2.14741859656892e-06
KCNG1,ENSSSCG00000007476,-10.0425412504657,1.21449112686839e-08,2.14741859656892e-06
NRK,ENSSSCG00000012546,-10.0134228217651,1.36845757593571e-08,2.39521544200141e-06
EDAR,ENSSSCG00000008134,-6.38529221854605,1.40557194990252e-08,2.43557507479109e-06
,ENSSSCG00000010610,7.31054387200825,1.43174815795628e-08,2.45636951297687e-06
ACTG2,ENSSSCG00000008294,-5.66591677488933,1.45047687181007e-08,2.46410423869852e-06
,ENSSSCG00000029449,-9.98370455796218,1.54546831219811e-08,2.59998785570572e-06
RNF228,ENSSSCG00000050073,6.50046498645541,1.65864798364865e-08,2.76356271737152e-06
PDK4,ENSSSCG00000015334,-5.62085371559801,1.67851780553332e-08,2.77003395564584e-06
ADAMDEC1,ENSSSCG00000009645,5.61652177492146,1.72768564971014e-08,2.82427706963936e-06
ADRB1,ENSSSCG00000010647,6.02579797951321,1.78823319793489e-08,2.89593503306689e-06
SLC26A7,ENSSSCG00000006116,5.74727078786665,1.86982335362283e-08,3.00002769181263e-06
