Gene_name,genes,logFC,PValue,FDR
INHA,ENSSSCG00000020771,-8.2646083812489,8.45131522500585e-12,1.52681460854956e-07
CYP17A1,ENSSSCG00000010591,-7.07220408935843,4.10205152253835e-08,0.000370538314030889
,ENSSSCG00000057223,-9.0366833512224,2.93502681840867e-07,0.00136166571190106
CDC20B,ENSSSCG00000048484,4.95142500408797,3.01486928351835e-07,0.00136166571190106
,ENSSSCG00000054576,-5.40750958078754,5.27828898965963e-07,0.00190715137774382
LRIT1,ENSSSCG00000034402,8.74677590437129,9.8334043354367e-07,0.00234225986866258
,ENSSSCG00000009648,-5.76935793740241,1.01402136610683e-06,0.00234225986866258
PDE6C,ENSSSCG00000010480,-4.91647354053449,1.03720131458544e-06,0.00234225986866258
GRM4,ENSSSCG00000001523,-4.66443990792288,1.80885307600684e-06,0.00363097107457106
GPX6,ENSSSCG00000001213,4.82591094384107,2.65779587110521e-06,0.00455498650989115
SAMD11,ENSSSCG00000033509,4.57315453109785,2.77343361058356e-06,0.00455498650989115
GCG,ENSSSCG00000015895,-8.40813649759227,3.27240882496081e-06,0.00483199194874668
E2F7,ENSSSCG00000000950,4.35876284363075,3.4770228790937e-06,0.00483199194874668
,ENSSSCG00000036149,8.3505048730704,4.36615213466274e-06,0.00563420746177265
PLK4,ENSSSCG00000055606,4.28694762850044,4.71878518020902e-06,0.00568330487104375
PTPN5,ENSSSCG00000013358,4.66299822488473,5.12512176597575e-06,0.00578690311400736
KCNF1,ENSSSCG00000033463,5.06319916811326,6.12321906432907e-06,0.00650718091859817
GZMA,ENSSSCG00000016903,4.27916307917601,6.93968600109239e-06,0.00696513151642972
SMIM18,ENSSSCG00000033236,8.16349162796212,8.62862582708226e-06,0.00820446074695095
GPR12,ENSSSCG00000009301,8.12299340046689,9.97953385782905e-06,0.00882174380557427
PRRT4,ENSSSCG00000037087,4.23670528126802,1.02544348454035e-05,0.00882174380557427
NKX6-2,ENSSSCG00000036098,8.03841810480833,1.34881980306674e-05,0.010032222584538
,ENSSSCG00000062630,-8.01714562469842,1.3564363078363e-05,0.010032222584538
OSTN,ENSSSCG00000031478,-4.25871373508271,1.38689489352151e-05,0.010032222584538
MCIDAS,ENSSSCG00000036183,4.02230531726588,1.38827391018183e-05,0.010032222584538
CCNO,ENSSSCG00000026849,4.0076505177944,1.4637890921349e-05,0.0101710822071189
CXCL14,ENSSSCG00000014310,-3.99406546862667,1.55818583555387e-05,0.0103285608763814
MTFR2,ENSSSCG00000004164,4.6625495013513,1.60079544192782e-05,0.0103285608763814
CACNG4,ENSSSCG00000037202,4.08405958002914,1.67794276812651e-05,0.0104530048444736
NTSR1,ENSSSCG00000038278,5.53966185081871,1.81877208739123e-05,0.0106188789530261
,ENSSSCG00000040548,-7.92440743579907,1.88090405456015e-05,0.0106188789530261
KCTD4,ENSSSCG00000022868,-7.92440743579907,1.88090405456015e-05,0.0106188789530261
TNNI1,ENSSSCG00000024061,-4.01855833466184,1.97032913937822e-05,0.0107866564339415
CDKN2A,ENSSSCG00000005134,7.90146322045565,2.18090020033294e-05,0.0115882773585926
,ENSSSCG00000043631,-4.96001695628008,2.40534803176955e-05,0.0123764011275572
PHEROC,ENSSSCG00000013067,-4.93769206479744,2.61645159645201e-05,0.0123764011275572
,ENSSSCG00000022580,-7.82529589159904,2.65475990734264e-05,0.0123764011275572
,ENSSSCG00000030262,-7.82529589159904,2.65475990734264e-05,0.0123764011275572
,ENSSSCG00000009936,3.87633923253787,2.67175713480976e-05,0.0123764011275572
CACNG5,ENSSSCG00000036461,4.17208580526344,3.06318856383609e-05,0.0138348911485657
,ENSSSCG00000055712,-7.71886991281615,3.82174193145981e-05,0.0168398999350617
,ENSSSCG00000056047,-7.66256027807742,4.62292300158889e-05,0.0198851730825488
,ENSSSCG00000043705,-5.21374417688031,5.98984780884795e-05,0.0251657187243365
,ENSSSCG00000053202,-7.54288509051726,6.88733322134367e-05,0.0281734002887148
,ENSSSCG00000058051,-4.09633123992845,7.01761880323351e-05,0.0281734002887148
NEK2,ENSSSCG00000015604,3.57072176899624,8.1325696756958e-05,0.0319397834263305
OPTC,ENSSSCG00000015272,-7.47910636556674,8.4893603379844e-05,0.0319518299720888
HSPB3,ENSSSCG00000036059,-7.47910636556674,8.4893603379844e-05,0.0319518299720888
GSG1L,ENSSSCG00000022785,3.6407120021757,9.1945041153525e-05,0.0338995737444813
FRMPD3,ENSSSCG00000012561,3.86545490332538,9.87421086181813e-05,0.0356774986859213
STIL,ENSSSCG00000003888,3.50623739235593,0.000103892135799939,0.0366146617973747
TRIM55,ENSSSCG00000006216,-7.41237717077926,0.000105389262341608,0.0366146617973747
GSTO2,ENSSSCG00000030271,3.60614777523652,0.000122808184563263,0.041861370987168
,ENSSSCG00000007224,4.50858994500913,0.000125998394898585,0.0421534630044044
,ENSSSCG00000034866,4.98328125733369,0.000134896170819181,0.044309713127624
MIS18A,ENSSSCG00000034229,3.46928999745958,0.000143791607002752,0.0463621656650397
TNFRSF18,ENSSSCG00000038351,-3.58654700619684,0.000148140433744172,0.0463621656650397
SNAI3,ENSSSCG00000040145,7.31951451262673,0.000150203718391544,0.0463621656650397
PCLAF,ENSSSCG00000004554,3.43222732624107,0.000151409707419315,0.0463621656650397
DLGAP5,ENSSSCG00000005056,3.43959232420985,0.000155971501415794,0.0469630190762956
TAC3,ENSSSCG00000055762,-3.40717824049849,0.000160551131593276,0.0475494548092479
RDH16,ENSSSCG00000052675,-7.26887844860712,0.00016628060021532,0.0484520213466124
,ENSSSCG00000010044,4.16964041809354,0.000177250487519859,0.0497805440483825
PROK2,ENSSSCG00000026200,4.90111505182844,0.000179007159835115,0.0497805440483825
MYBL1,ENSSSCG00000027872,3.45836945524387,0.000179106352437997,0.0497805440483825
KCNA3,ENSSSCG00000006802,7.24598921822731,0.000188995831085138,0.0517333133997592
MYO1H,ENSSSCG00000009935,3.82398124312991,0.000191913665260446,0.0517479444267944
MMP7,ENSSSCG00000014982,3.71133924922211,0.000200221495674703,0.0531941403067527
DEPDC1,ENSSSCG00000033443,3.48379671516363,0.00020450233524864,0.0535440462116223
RNF182,ENSSSCG00000038290,3.37670251161108,0.000212641299503586,0.053837151161345
CITED1,ENSSSCG00000012409,-3.33332700844345,0.000214230485750028,0.053837151161345
,ENSSSCG00000044927,-3.62701581948019,0.000214561877760259,0.053837151161345
CEP152,ENSSSCG00000004657,3.36119232596982,0.000223200296021987,0.0547696654826633
TCF19,ENSSSCG00000001392,3.35026816451574,0.000224341594471221,0.0547696654826633
GPR25,ENSSSCG00000055738,7.16851461936326,0.000239880519210149,0.0577824194673406
GPX3,ENSSSCG00000036438,-3.29556047791805,0.000246372376550133,0.058069291548048
XRCC2,ENSSSCG00000032315,3.35229496284634,0.000247500024864369,0.058069291548048
,ENSSSCG00000013369,-3.27160672733207,0.000257297296317032,0.0595940122469679
CENPU,ENSSSCG00000015785,3.29198021943648,0.000263184437520833,0.0601859499778654
,ENSSSCG00000041757,-7.10951389517347,0.000271819952562349,0.0606259168270542
,ENSSSCG00000052409,-7.10951389517347,0.000271819952562349,0.0606259168270542
NDC80,ENSSSCG00000003697,3.31376962587517,0.000276269707856161,0.0608669334406025
CALB2,ENSSSCG00000002730,7.08664225122531,0.000307334216751065,0.0668951802388524
ERCC6L,ENSSSCG00000021834,3.33103275599923,0.000322043700791622,0.0692623987916839
,ENSSSCG00000056034,-3.83935878870833,0.000340043766830155,0.0722733022535715
SCN2A,ENSSSCG00000015905,-7.02270385274137,0.000352836900401565,0.0741203656122636
,ENSSSCG00000058827,3.81863591695478,0.00036422153898437,0.0756324864746165
SGK2,ENSSSCG00000024325,-3.6392969071824,0.000374129504757498,0.0768070867380563
DGKB,ENSSSCG00000015355,-3.16733493074855,0.000387256439322127,0.0772715927217849
INSL3,ENSSSCG00000013887,-4.18752716741851,0.000387407117154549,0.0772715927217849
SLC5A5,ENSSSCG00000013890,-3.52599996501565,0.000392625048934491,0.0772715927217849
,ENSSSCG00000033550,6.99984263795617,0.000397778042905236,0.0772715927217849
,ENSSSCG00000054353,6.99984263795617,0.000397778042905236,0.0772715927217849
FRMPD1,ENSSSCG00000005352,3.36756423588705,0.0004098509003557,0.0787698549555965
GFY,ENSSSCG00000035723,-3.60036801669584,0.000429422383195558,0.0816625765769573
,ENSSSCG00000060033,4.14287833227092,0.000448562475564192,0.0844138508702363
,ENSSSCG00000033117,-6.93033393010226,0.00046319191781014,0.0862683008985359
GPR19,ENSSSCG00000040400,3.74351248013169,0.000473184652570526,0.0872301421769299
GRIN2C,ENSSSCG00000023151,3.18403021439445,0.00049311689957229,0.0899863627037676
DTL,ENSSSCG00000015600,3.20703586733462,0.000505959286034383,0.0905542900666708
ACP3,ENSSSCG00000011627,3.16894731228932,0.000510465105799656,0.0905542900666708
MCM10,ENSSSCG00000035059,3.19183248548515,0.000517372194992127,0.0905542900666708
,ENSSSCG00000053139,6.90748452354289,0.000520560787044416,0.0905542900666708
E2F8,ENSSSCG00000013352,3.17092888975779,0.000522745814132783,0.0905542900666708
CPAMD8,ENSSSCG00000013869,-3.10549767232213,0.000526303578932826,0.0905542900666708
CDCA5,ENSSSCG00000013008,3.08982751118257,0.000539968351096479,0.0920289455746131
,ENSSSCG00000063044,3.59985156458811,0.000552196565099602,0.0932334873372843
ITGA11,ENSSSCG00000004961,3.04217048044956,0.000571670657350248,0.0951104341628528
CHAF1B,ENSSSCG00000012056,3.09726632442222,0.000577603259302411,0.0951104341628528
FOXI3,ENSSSCG00000036354,4.06514067330368,0.000581941191337833,0.0951104341628528
