,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt
ENSSSCG00000028996,11.0029960313887,11.038364551953,9.9809776411788,8.06561886829866,7.13838180283972,8.73163391858786,10.5614485082408
ENSSSCG00000005267,7.26545821870494,7.97670137822835,7.08314824261385,7.38728321296315,7.54066488496303,7.27222896093459,7.25848161102221
ENSSSCG00000005268,4.39611838209608,4.17348799524726,4.32180009909046,5.2824112220261,4.58912554088651,3.82020178473752,3.43563915117896
ENSSSCG00000005269,1.95448149570568,3.45127091677403,3.57351766318846,4.88258108162941,5.02681109202186,4.69792009314084,3.45202256670693
ENSSSCG00000031382,3.98416792770827,4.684170267546,3.81386596329546,3.74507871952949,4.37648082988374,4.23169366359368,4.30365890097225
ENSSSCG00000005271,5.41740787290035,6.14894387742423,5.85634763889392,5.84540090267103,5.10677077342617,5.56747023076425,5.54592057333767
ENSSSCG00000005272,3.2831389478987,2.80046360224561,4.43183109756902,4.9562283463345,3.41755931469811,2.62240781333492,2.61453333936981
ENSSSCG00000005273,5.45708458656965,5.84670888936399,5.94588118322592,6.54080102635458,6.36559789720039,6.19176597419449,5.38244895231166
ENSSSCG00000023520,4.78189345559009,3.48756890955811,2.63374015235334,3.02379612901598,3.20267469462128,4.45637959186063,5.11818245704649
ENSSSCG00000057774,1.10734809480828,1.38522981186308,1.68039556751641,0.262508868910295,-0.341006899695944,0.439805401023396,1.25466905748427
ENSSSCG00000037277,5.27173383752533,5.12248590737723,9.28128537398459,9.51934213619076,8.32054469374004,7.90854675587406,6.40511566015856
ENSSSCG00000005277,3.35956882121012,3.7602909745665,4.62952503332791,7.40053584305785,6.79304929782743,4.97347510200922,3.89105441088532
ENSSSCG00000004361,-1.90124673809572,-2.26224290908983,-1.56118943370303,0.756535500748427,-2.17942457204632,-3.85509885099552,-2.37573725412848
ENSSSCG00000004349,5.18643939794945,4.99117042844142,6.02794652908607,5.78850849367931,5.17800477781132,5.05425105094739,5.19562854429893
ENSSSCG00000004272,5.45272956549418,5.36371956930619,5.73005692827913,5.83591465780164,5.60739177782554,5.74922672119219,5.70133149608794
ENSSSCG00000037594,7.22835990871072,6.76589637357439,7.07667560168758,7.54754846145346,5.0014204892225,7.61894664675737,7.15720328863623
ENSSSCG00000044472,-1.32150410160565,-0.200360999921832,0.199343854953986,0.433270233120285,-0.146826102887116,-0.59820828472581,-1.97446039547724
ENSSSCG00000004261,-0.211669478325432,-0.32073720743387,0.75506903048931,0.433270233120285,-0.341006899695944,-0.0384430273895649,-0.608051972715926
ENSSSCG00000004351,3.67955305286971,3.70740915457759,4.07860060683411,3.91327557295141,2.63490634254105,4.17724445799505,4.09259547285624
ENSSSCG00000004262,4.24060498636664,3.68413835401068,4.3193653726308,4.62720531122467,2.6697089603502,4.60403511932342,4.09520556753979
ENSSSCG00000038757,2.88450336165306,3.40457521394288,3.13243311573048,3.40359180985091,2.59924337214708,3.66265483539541,2.76636407383498
ENSSSCG00000004353,5.8669251316577,5.98643496900915,6.25957034906435,6.23496158218041,5.49180446764205,6.00039423097561,5.86321678780295
ENSSSCG00000005284,2.76313331797085,5.0948104927834,2.2802104714773,3.18789117302224,3.89664996228778,3.97185439593097,3.16950115195216
ENSSSCG00000004263,4.13039953848496,4.21196333957378,4.53825527750103,4.30298423880134,3.33323576691079,4.19653630642923,4.39122305769164
ENSSSCG00000021802,4.14936169634227,3.9281607494277,4.52774837374918,4.63159819120987,3.94717185736307,4.62656213071608,4.07683495567666
ENSSSCG00000031105,2.79100055298604,3.1224152502708,3.79996201197152,3.0304649769672,1.79969302348129,2.70939771305317,2.64335407318596
ENSSSCG00000034919,1.68425222075602,4.24149018870935,4.08721289272259,5.48656315887498,5.83237488415663,4.84837787997245,3.41489472872888
ENSSSCG00000023834,6.26920516281857,5.81759789765872,5.28477911367975,4.19136537947325,5.07628980261633,4.63062042625387,5.33354807718432
ENSSSCG00000032533,0.577696367236528,-0.384914122948224,-0.363558978652408,-0.839159245882298,-1.75343886986335,-1.38746889707492,0.69044736087789
ENSSSCG00000025941,7.47832648401362,7.37830736437211,8.21095501255541,7.98465790517338,7.9299277941637,7.82534692535751,7.94186658979345
ENSSSCG00000030268,7.24608487258614,6.719436815754,7.1307889865152,7.35044784886607,7.16530698575114,7.03219385528141,7.36424787840378
ENSSSCG00000027002,3.44974192138928,2.59953331089671,3.04671997622148,4.16129773761451,2.23104655851833,2.53849980312402,3.19405935815737
ENSSSCG00000005266,0.729419045834392,-0.757198026946312,-0.0803167999044547,1.67658701437661,-0.208693867219925,0.798371993389637,1.05463178296054
ENSSSCG00000005288,4.70524890889275,4.56395825271182,3.58977129813409,3.78111455166567,3.52600120079048,3.8130771069362,4.00647690129478
ENSSSCG00000035934,2.55135627802182,2.7111887471087,3.15445528066017,3.67018885195997,0.699215843812896,3.15483706239046,2.76636407383498
ENSSSCG00000005036,-0.268059180522352,0.110161561770966,-0.978586571935133,0.756535500748427,-0.412010973153868,-1.14618133454789,-0.417419301175842
ENSSSCG00000004241,8.02721569362852,7.6169208898818,6.59916290869215,6.14410396605117,5.7665776774635,7.25491570511447,7.80945179284245
ENSSSCG00000005037,5.93329198602683,5.96084302350998,5.80853937854047,5.89191845906491,5.59612790422148,6.39211671998974,6.09539431675586
ENSSSCG00000004242,3.51385560699281,3.133911636821,4.01983279601998,4.3754921674866,2.25416298283382,3.98141955240064,3.72908222680026
ENSSSCG00000005291,6.62320715604276,7.06511166827874,7.49862973647847,7.89409080341301,8.13374972926478,7.36436417846525,6.95579908038209
ENSSSCG00000005038,6.26237828527983,6.42642675658151,6.61016044949556,6.45850488257659,5.58819053763878,6.07302256360508,6.48540719554635
ENSSSCG00000033805,0.512238432550772,0.741196937257568,0.359588767554183,0.262508868910295,0.315532810977527,-0.0384430273895649,0.634125431573608
