,ovid00.txt,ovid18.txt
ENSSSCG00000028996,8.93211061902131,8.13218101633929
ENSSSCG00000005267,8.1614893766211,8.1139010456159
ENSSSCG00000005268,2.32304216434227,1.86193445189534
ENSSSCG00000005269,4.33554540544362,4.69959821480048
ENSSSCG00000031382,3.95702196678074,4.46236232806274
ENSSSCG00000005271,5.81216280724875,6.09825895190887
ENSSSCG00000005272,3.6310678309753,3.32490140231128
ENSSSCG00000005273,5.11481258120503,5.07737738054171
ENSSSCG00000023520,3.88470513017051,3.20779970293364
ENSSSCG00000057774,0.727774409900831,1.16499531857829
ENSSSCG00000037277,7.36306069580888,6.82804954397354
ENSSSCG00000005277,4.75613104753744,4.20775735309894
ENSSSCG00000004361,1.68220303013422,-0.355184521008524
ENSSSCG00000004349,4.70550392357335,4.66524743569954
ENSSSCG00000004272,5.35516084331173,5.29893689026365
ENSSSCG00000037594,7.37030136274568,7.13323138361416
ENSSSCG00000044472,-2.86247938466403,-0.878308599580625
ENSSSCG00000004261,0.31257685318606,-0.293825685894209
ENSSSCG00000004351,4.13476855643788,3.99066610884014
ENSSSCG00000004262,4.04108912969739,4.14820229330252
ENSSSCG00000038757,3.11474373586418,2.7350795476716
ENSSSCG00000004353,5.37088870280743,5.91792663000716
ENSSSCG00000005284,2.69775827184491,2.31023451461373
ENSSSCG00000004263,3.86775136057467,3.76416594770703
ENSSSCG00000021802,3.71687869052905,4.00599724221923
ENSSSCG00000031105,3.06800966342621,2.9277099332895
ENSSSCG00000034919,5.69882443801572,5.30142426187925
ENSSSCG00000023834,7.56508963654218,7.64430799108332
ENSSSCG00000032533,2.38154412791919,2.09771492446606
ENSSSCG00000025941,7.47168193357245,7.63151460270892
ENSSSCG00000030268,7.06624203348487,7.06313900991802
ENSSSCG00000027002,4.97773778998711,4.79447262854843
ENSSSCG00000005266,1.85731805381097,1.56346045213966
ENSSSCG00000005288,5.14467769179908,5.49748001385567
ENSSSCG00000035934,2.04999056343205,1.94063499660789
ENSSSCG00000005036,1.29271456044792,-0.486333722700761
ENSSSCG00000004241,8.08781811150751,8.09000128359988
ENSSSCG00000005037,6.01749263520292,5.71365819566955
ENSSSCG00000004242,4.66682262725849,4.20775735309894
ENSSSCG00000005291,6.3798946271551,6.50396507572069
ENSSSCG00000005038,6.34540601976826,6.41085624615911
