Gene stable ID,Gene name
ENSSSCG00000018060,
ENSSSCG00000018061,
ENSSSCG00000018062,
ENSSSCG00000018063,
ENSSSCG00000018064,
ENSSSCG00000018065,ND1
ENSSSCG00000018066,
ENSSSCG00000018067,
ENSSSCG00000018068,
ENSSSCG00000018069,ND2
ENSSSCG00000018070,
ENSSSCG00000018071,
ENSSSCG00000018072,
ENSSSCG00000018073,
ENSSSCG00000018074,
ENSSSCG00000018075,COX1
ENSSSCG00000018076,
ENSSSCG00000018077,
ENSSSCG00000018078,COX2
ENSSSCG00000018079,
ENSSSCG00000018080,ATP8
ENSSSCG00000018081,ATP6
ENSSSCG00000018082,COX3
ENSSSCG00000018083,
ENSSSCG00000018084,ND3
ENSSSCG00000018085,
ENSSSCG00000018086,ND4L
ENSSSCG00000018087,ND4
ENSSSCG00000018088,
ENSSSCG00000018089,
ENSSSCG00000018090,
ENSSSCG00000018091,ND5
ENSSSCG00000018092,ND6
ENSSSCG00000018093,
ENSSSCG00000018094,CYTB
ENSSSCG00000018095,
ENSSSCG00000018096,
ENSSSCG00000052911,
ENSSSCG00000060875,
ENSSSCG00000057402,
ENSSSCG00000049348,
ENSSSCG00000063401,
ENSSSCG00000059619,
ENSSSCG00000038574,U6
ENSSSCG00000037850,
ENSSSCG00000040808,
ENSSSCG00000063589,
ENSSSCG00000036316,
ENSSSCG00000053140,
ENSSSCG00000059599,
ENSSSCG00000053435,
ENSSSCG00000061231,
ENSSSCG00000032661,
ENSSSCG00000063414,
ENSSSCG00000056285,
ENSSSCG00000061007,
ENSSSCG00000055402,
ENSSSCG00000061903,
ENSSSCG00000039365,
ENSSSCG00000042717,
ENSSSCG00000033640,
ENSSSCG00000061639,
ENSSSCG00000058142,
ENSSSCG00000061068,
ENSSSCG00000056521,
ENSSSCG00000057353,
ENSSSCG00000040501,
ENSSSCG00000038679,
ENSSSCG00000031650,AMELY
ENSSSCG00000036077,
ENSSSCG00000031410,
ENSSSCG00000038567,
ENSSSCG00000034469,
ENSSSCG00000032135,
ENSSSCG00000039170,
ENSSSCG00000039144,
ENSSSCG00000012833,
ENSSSCG00000012178,
ENSSSCG00000039162,
ENSSSCG00000012179,ZFY
ENSSSCG00000063326,
ENSSSCG00000009499,
ENSSSCG00000034125,
ENSSSCG00000060797,
ENSSSCG00000038620,
ENSSSCG00000040592,
ENSSSCG00000034851,
ENSSSCG00000037503,
ENSSSCG00000038226,
ENSSSCG00000060618,
ENSSSCG00000037242,
ENSSSCG00000054065,
ENSSSCG00000031687,
ENSSSCG00000045260,
ENSSSCG00000053998,
ENSSSCG00000036341,
ENSSSCG00000058019,
ENSSSCG00000036054,
ENSSSCG00000043796,
ENSSSCG00000060822,
ENSSSCG00000037296,
ENSSSCG00000031398,
ENSSSCG00000031911,
ENSSSCG00000051264,
ENSSSCG00000055112,
ENSSSCG00000059255,
ENSSSCG00000033858,
ENSSSCG00000058030,
ENSSSCG00000061039,
ENSSSCG00000052932,
ENSSSCG00000031553,
ENSSSCG00000060826,
ENSSSCG00000055885,
ENSSSCG00000059197,
ENSSSCG00000056421,
ENSSSCG00000035838,
ENSSSCG00000035091,
ENSSSCG00000050573,
ENSSSCG00000056055,
ENSSSCG00000059585,
ENSSSCG00000059684,
ENSSSCG00000051818,
ENSSSCG00000037509,
ENSSSCG00000036470,
ENSSSCG00000060643,
ENSSSCG00000046452,
ENSSSCG00000025253,
ENSSSCG00000037720,
ENSSSCG00000026430,
ENSSSCG00000053674,
ENSSSCG00000027046,USP9Y
ENSSSCG00000059293,
ENSSSCG00000058973,
ENSSSCG00000012359,
ENSSSCG00000038337,
ENSSSCG00000055409,
ENSSSCG00000038217,
ENSSSCG00000021305,
ENSSSCG00000038173,
ENSSSCG00000039125,U6atac
ENSSSCG00000036122,
ENSSSCG00000040539,
ENSSSCG00000039603,
ENSSSCG00000038064,
ENSSSCG00000050439,
ENSSSCG00000032945,
ENSSSCG00000038027,
ENSSSCG00000038291,
ENSSSCG00000031900,
ENSSSCG00000038192,
ENSSSCG00000036465,
ENSSSCG00000032439,
ENSSSCG00000052941,
ENSSSCG00000000887,
ENSSSCG00000047835,
ENSSSCG00000056936,
ENSSSCG00000058683,
ENSSSCG00000046778,
ENSSSCG00000038204,
ENSSSCG00000046749,
ENSSSCG00000036233,
ENSSSCG00000037794,
ENSSSCG00000034426,
ENSSSCG00000059288,
ENSSSCG00000057434,
ENSSSCG00000053329,
ENSSSCG00000043846,
ENSSSCG00000061705,
ENSSSCG00000057564,
ENSSSCG00000044023,
ENSSSCG00000035651,
ENSSSCG00000063016,
ENSSSCG00000055070,
ENSSSCG00000062663,
ENSSSCG00000058186,
ENSSSCG00000046993,
ENSSSCG00000059816,
ENSSSCG00000037913,
ENSSSCG00000056420,
ENSSSCG00000043578,
ENSSSCG00000053240,
ENSSSCG00000061508,
ENSSSCG00000057226,
ENSSSCG00000051505,
ENSSSCG00000054294,
ENSSSCG00000049741,
ENSSSCG00000053977,
ENSSSCG00000060063,
ENSSSCG00000054520,
ENSSSCG00000063439,
ENSSSCG00000058090,
ENSSSCG00000061166,
ENSSSCG00000056518,
ENSSSCG00000045643,
ENSSSCG00000041809,
ENSSSCG00000043850,
ENSSSCG00000038322,
ENSSSCG00000051961,
ENSSSCG00000044223,
ENSSSCG00000059628,
ENSSSCG00000051336,
ENSSSCG00000060486,
ENSSSCG00000061701,
ENSSSCG00000041756,U2
ENSSSCG00000061466,U6
ENSSSCG00000035670,
ENSSSCG00000034929,
ENSSSCG00000040375,
ENSSSCG00000040473,
ENSSSCG00000062222,
ENSSSCG00000031588,
ENSSSCG00000035605,
ENSSSCG00000034252,
ENSSSCG00000032818,
ENSSSCG00000056540,
ENSSSCG00000058776,
ENSSSCG00000055238,
ENSSSCG00000031124,
ENSSSCG00000061982,
ENSSSCG00000034046,
ENSSSCG00000056971,
ENSSSCG00000040986,
ENSSSCG00000036825,
ENSSSCG00000058167,
ENSSSCG00000036670,
ENSSSCG00000054727,
ENSSSCG00000040853,
ENSSSCG00000037456,
ENSSSCG00000031863,
ENSSSCG00000052384,
ENSSSCG00000039022,
ENSSSCG00000034141,
ENSSSCG00000037347,
ENSSSCG00000040795,
ENSSSCG00000055051,
ENSSSCG00000056875,
ENSSSCG00000038702,
ENSSSCG00000048665,
ENSSSCG00000031581,
ENSSSCG00000035892,
ENSSSCG00000023819,
ENSSSCG00000039786,
ENSSSCG00000059338,
ENSSSCG00000031758,
ENSSSCG00000040804,
ENSSSCG00000038723,
ENSSSCG00000036928,
ENSSSCG00000049768,
ENSSSCG00000040276,
ENSSSCG00000057110,
ENSSSCG00000038249,
ENSSSCG00000051881,
ENSSSCG00000061633,
ENSSSCG00000044893,
ENSSSCG00000040527,
ENSSSCG00000031162,
ENSSSCG00000057000,SRY
ENSSSCG00000044753,
ENSSSCG00000052661,
ENSSSCG00000053301,
ENSSSCG00000059393,
ENSSSCG00000055657,
ENSSSCG00000056764,
ENSSSCG00000059267,
ENSSSCG00000062133,
ENSSSCG00000037848,
ENSSSCG00000060796,
ENSSSCG00000049587,
ENSSSCG00000034372,
ENSSSCG00000057265,
ENSSSCG00000054107,U6
ENSSSCG00000063151,
ENSSSCG00000033967,U6
ENSSSCG00000041799,
ENSSSCG00000063461,
ENSSSCG00000063311,
ENSSSCG00000045241,
ENSSSCG00000056197,
ENSSSCG00000055526,
ENSSSCG00000063512,
ENSSSCG00000052228,
ENSSSCG00000059552,
ENSSSCG00000056846,
ENSSSCG00000056475,
ENSSSCG00000057107,
ENSSSCG00000036124,
ENSSSCG00000058851,
ENSSSCG00000051911,
ENSSSCG00000057316,
ENSSSCG00000053420,
ENSSSCG00000053167,
ENSSSCG00000033100,
ENSSSCG00000050233,
ENSSSCG00000054075,
ENSSSCG00000039921,
ENSSSCG00000031415,
ENSSSCG00000055786,
ENSSSCG00000059489,
ENSSSCG00000044850,
ENSSSCG00000031965,
ENSSSCG00000063394,
ENSSSCG00000046033,
ENSSSCG00000060430,
ENSSSCG00000060627,
ENSSSCG00000057343,
ENSSSCG00000032354,KDM5D
ENSSSCG00000022458,U6atac
ENSSSCG00000055256,
ENSSSCG00000058541,
ENSSSCG00000057129,
ENSSSCG00000034853,
ENSSSCG00000043614,
ENSSSCG00000052287,
ENSSSCG00000056952,
ENSSSCG00000038984,
ENSSSCG00000037373,
ENSSSCG00000035508,
ENSSSCG00000039530,
ENSSSCG00000040427,
ENSSSCG00000057769,
ENSSSCG00000033552,U6
ENSSSCG00000033430,
ENSSSCG00000048219,
ENSSSCG00000048612,
ENSSSCG00000054431,
ENSSSCG00000012319,
ENSSSCG00000039860,
ENSSSCG00000049427,
ENSSSCG00000033981,
ENSSSCG00000058481,SNORA11
ENSSSCG00000061783,SNORA11
ENSSSCG00000033589,
ENSSSCG00000039152,
ENSSSCG00000034535,
ENSSSCG00000034784,
ENSSSCG00000040469,
ENSSSCG00000057952,ZNF311
ENSSSCG00000001219,TRIM27
ENSSSCG00000034039,SLC11A2
ENSSSCG00000054403,
ENSSSCG00000057357,
ENSSSCG00000035481,
ENSSSCG00000038538,
ENSSSCG00000039298,
ENSSSCG00000025289,
ENSSSCG00000057691,
ENSSSCG00000040497,U6
ENSSSCG00000045885,
ENSSSCG00000062423,U6
ENSSSCG00000034543,U6
ENSSSCG00000023048,Metazoa_SRP
ENSSSCG00000031968,
ENSSSCG00000053640,U6
ENSSSCG00000035326,HIGD1C
ENSSSCG00000035675,
ENSSSCG00000062916,
ENSSSCG00000062893,
ENSSSCG00000060914,
ENSSSCG00000026890,GALNT6
ENSSSCG00000034707,
ENSSSCG00000060010,
ENSSSCG00000031760,
ENSSSCG00000033667,
ENSSSCG00000047232,CELA1
ENSSSCG00000062730,
ENSSSCG00000057283,
ENSSSCG00000000223,BIN2
ENSSSCG00000034912,
ENSSSCG00000061033,SMAGP
ENSSSCG00000022674,DAZAP2
ENSSSCG00000047674,
ENSSSCG00000054822,
ENSSSCG00000045633,
ENSSSCG00000000220,POU6F1
ENSSSCG00000031206,TFCP2
ENSSSCG00000053591,
ENSSSCG00000037029,CSRNP2
ENSSSCG00000032096,LETMD1
ENSSSCG00000062076,
ENSSSCG00000031749,
ENSSSCG00000032117,U6
ENSSSCG00000036072,
ENSSSCG00000035681,
ENSSSCG00000025314,
ENSSSCG00000036110,
ENSSSCG00000034172,
ENSSSCG00000033437,
ENSSSCG00000055079,
ENSSSCG00000058237,
ENSSSCG00000033365,
ENSSSCG00000038438,
ENSSSCG00000037610,
ENSSSCG00000039371,
ENSSSCG00000062277,
ENSSSCG00000031150,
ENSSSCG00000052422,
ENSSSCG00000057008,
ENSSSCG00000044144,
ENSSSCG00000038667,
ENSSSCG00000055688,
ENSSSCG00000055961,
ENSSSCG00000014516,
ENSSSCG00000062657,
ENSSSCG00000053681,
ENSSSCG00000063307,
ENSSSCG00000061943,
ENSSSCG00000060882,
